episode,total_reward,cache_hits,cache_misses,epsilon
113,13479.839034644938,118629,2208,0.5647174463480732
114,13609.106263589996,118731,2008,0.5618938591163328
115,13234.5428598043,118538,2239,0.5590843898207511
116,12817.26092438359,118495,2353,0.5562889678716474
117,13441.547228549081,118688,2294,0.5535075230322891
118,13225.257395898176,118769,2246,0.5507399854171277
119,13415.4384387771,118539,2193,0.547986285490042
120,13021.502759689785,118497,2345,0.5452463540625918
121,12884.747255928465,118796,2130,0.5425201222922789
122,13567.826274241803,118713,2110,0.5398075216808175
123,12891.102962274561,118499,2294,0.5371084840724134
124,13297.140824045293,118563,2284,0.5344229416520513
125,13309.858903192131,118764,2157,0.531750826943791
126,13342.102860233563,118672,2231,0.5290920728090721
127,13737.534640762353,118702,2150,0.5264466124450268
128,13447.593100692982,118585,2164,0.5238143793828016
129,13197.890004198942,118625,2253,0.5211953074858876
130,13543.35464059064,118503,2230,0.5185893309484582
131,12783.016511548432,118452,2302,0.5159963842937159
132,12989.242702733742,118392,2294,0.5134164023722473
133,12927.125703353588,118499,2316,0.510849320360386
134,13095.846529537048,118676,2200,0.5082950737585841
135,13300.632728974508,118551,2215,0.5057535983897912
136,12931.986630392305,118517,2329,0.5032248303978422
137,13293.856580306467,118444,2361,0.500708706245853
138,13395.417683209533,118616,2221,0.4982051627146237
139,13680.867691226642,118595,2092,0.49571413690105054
140,13314.631232301637,118712,2002,0.4932355662165453
141,13375.106478078358,118656,2143,0.4907693883854626
142,13689.525736562078,118517,2219,0.4883155414435353
143,13079.88301976102,118817,2156,0.4858739637363176
144,13108.162430541925,118532,2169,0.483444593917636
145,12909.365407571122,118407,2300,0.4810273709480478
146,13448.778700954812,118843,2029,0.47862223409330756
147,13408.682534938234,118846,2116,0.47622912292284103
148,13458.950372128906,118793,2202,0.4738479773082268
149,13701.918925253724,118654,2214,0.47147873742168567
150,13226.305377920417,118631,2207,0.46912134373457726
151,13245.863870302195,118516,2185,0.46677573701590436
152,13328.41445006109,118694,2048,0.46444185833082485
153,12992.448136760284,118719,2102,0.46211964903917074
154,13440.271655794751,118600,2268,0.4598090507939749
155,13218.96472825843,118479,2422,0.457510005540005
156,13132.301169759106,118276,2555,0.45522245551230495
157,12776.008296578624,118516,2353,0.4529463432347434
158,12966.748968063153,118543,2316,0.4506816115185697
159,13497.175167685462,118532,2258,0.4484282034609769
160,13500.161475747134,118634,2176,0.446186062443672
161,13436.482090971298,118447,2399,0.4439551321314536
162,12792.166289345672,118359,2513,0.4417353564707963
163,13174.493102171557,118550,2221,0.43952667968844233
164,12907.701095670713,118589,2233,0.43732904629000013
165,13776.018919256874,118422,2372,0.4351424010585501
166,13506.983919873335,118521,2264,0.43296668905325736
167,13730.788809077778,118538,2292,0.43080185560799106
168,13212.06226376231,118454,2391,0.4286478463299511
169,12764.636066018636,118403,2471,0.42650460709830135
170,13515.325360253193,118576,2294,0.42437208406280985
171,13238.761604749094,118745,2245,0.4222502236424958
172,13730.103104665252,118771,2158,0.42013897252428334
173,13609.344461611607,118822,2205,0.4180382776616619
174,13453.876309872961,118510,2271,0.4159480862733536
175,12990.890738071865,118441,2379,0.41386834584198684
176,13242.105794171512,118526,2325,0.4117990041127769
177,13906.934664940782,118867,1975,0.40974000909221303
178,12888.57446407116,118489,2205,0.40769130904675194
179,13506.907679325337,118659,2183,0.40565285250151817
180,13319.899669717985,118615,2167,0.4036245882390106
181,13219.463015740206,118674,2137,0.4016064652978155
182,13320.858323317747,118535,2438,0.3995984329713264
183,13477.407179540207,118552,2159,0.3976004408064698
184,13359.959025521679,118634,2146,0.39561243860243744
185,13435.836396296652,118527,2294,0.3936343764094253
186,13937.965003721874,118619,2097,0.39166620452737816
187,13441.251734956131,118718,2068,0.3897078735047413
188,13238.99929355223,118548,2362,0.3877593341372176
189,13817.713725931884,118825,2092,0.3858205374665315
190,12935.881349588304,118472,2270,0.38389143477919885
191,13451.300402106672,118687,2159,0.3819719776053028
192,12607.673573857197,118311,2455,0.3800621177172763
193,13141.131563560377,118662,2044,0.37816180712868996
194,13182.10108707787,118858,2007,0.37627099809304654
195,13234.800803966362,118472,2345,0.3743896431025813
196,13376.354534662165,118668,2237,0.37251769488706843
197,12758.355980568462,118458,2353,0.3706551064126331
198,13337.156934263854,118766,2107,0.36880183088056995
199,13265.50943312361,118596,2215,0.3669578217261671
