episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,16832,79024,1374.8958333333285
1,0.0,17447,78397,1439.9791666666586
2,0.0,20336,75472,1669.354166666653
3,0.0,21640,74180,1770.7083333333167
4,0.0,20269,75547,1662.9166666666529
5,0.0,19825,76003,1624.0624999999886
6,0.0,18288,77552,1500.1874999999934
7,0.0,18624,77184,1531.2708333333226
8,0.0,21769,74039,1781.8333333333173
9,0.0,19562,76274,1597.7083333333246
10,0.0,24144,71644,1986.8958333333062
11,0.0,18922,76918,1548.4791666666551
12,0.0,19559,76273,1602.4583333333221
13,0.0,18022,77818,1481.9166666666588
14,0.0,21763,74045,1791.166666666649
15,0.0,17600,78248,1445.2916666666617
16,0.0,20456,75364,1682.2916666666526
17,0.0,19046,76794,1552.104166666657
18,0.0,18776,77044,1538.5624999999905
19,0.0,18420,77412,1517.4791666666597
20,0.0,21303,74509,1746.3333333333185
21,0.0,22227,73569,1833.520833333315
22,0.0,18773,76991,1535.3749999999886
23,0.0,22867,72937,1880.0833333333117
24,0.0,21782,74030,1783.9999999999854
25,0.0,20486,75322,1677.0833333333157
26,0.0,19269,76487,1576.7916666666592
27,0.0,20429,75327,1674.979166666654
28,0.0,20702,75042,1694.9583333333173
29,0.0,21812,73968,1786.9999999999834
30,0.0,19674,76158,1615.4583333333194
31,0.0,17423,78425,1420.624999999993
32,0.0,24821,70963,2040.666666666644
33,0.0,21656,74152,1777.749999999984
34,0.0,20207,75617,1654.4166666666545
35,0.0,22006,73802,1814.270833333314
36,0.0,22691,73117,1855.833333333315
37,0.0,20240,75584,1658.1249999999918
38,0.0,22534,73270,1849.6874999999789
39,0.0,22621,73175,1855.4166666666467
40,0.0,17842,77998,1466.9999999999932
41,0.0,22675,73125,1859.9166666666488
42,0.0,18204,77632,1499.3124999999916
43,0.0,23291,72501,1910.9374999999827
44,0.0,18814,77010,1533.9583333333253
45,0.0,19638,76190,1608.3124999999916
46,0.0,19590,76238,1611.562499999989
47,0.0,20279,75529,1658.020833333321
48,0.0,17456,78388,1436.5624999999932
49,0.0,23481,72311,1924.729166666644
50,0.0,21239,74573,1736.7708333333217
51,0.0,20303,75393,1660.562499999986
52,0.0,19249,76583,1583.8124999999886
53,0.0,23409,72387,1924.0416666666458
54,0.0,21696,74112,1775.7916666666533
55,0.0,21555,74253,1774.6874999999839
56,0.0,19982,75842,1635.5833333333242
57,0.0,18571,77261,1529.7708333333248
58,0.0,17804,78044,1455.9999999999936
59,0.0,17763,78057,1453.270833333327
60,0.0,20392,75428,1682.3749999999868
61,0.0,16759,79105,1363.9999999999955
62,0.0,19424,76404,1590.1666666666547
63,0.0,18265,77471,1495.0416666666556
64,0.0,22638,73158,1857.5416666666451
65,0.0,20013,75811,1646.0624999999875
66,0.0,21882,73926,1794.0416666666474
67,0.0,15511,80345,1263.0625000000014
68,0.0,22034,73774,1805.854166666649
69,0.0,21035,74777,1728.291666666651
70,0.0,20418,75346,1675.708333333321
71,0.0,18830,76998,1539.1666666666554
72,0.0,19167,76669,1572.3541666666588
73,0.0,18891,76945,1539.4791666666597
74,0.0,20952,74860,1724.4374999999854
75,0.0,20648,75168,1692.354166666656
76,0.0,22553,73247,1851.6458333333178
77,0.0,22298,73482,1839.0624999999795
78,0.0,23123,72673,1903.791666666647
79,0.0,18316,77524,1500.2499999999925
80,0.0,17116,78736,1399.3333333333271
81,0.0,20437,75387,1673.6249999999886
82,0.0,16682,79178,1366.8541666666613
83,0.0,20394,75422,1685.6666666666504
84,0.0,18355,77489,1510.395833333324
85,0.0,20298,75526,1663.895833333322
86,0.0,20083,75741,1640.6874999999895
87,0.0,16571,79285,1361.4999999999973
88,0.0,23905,71887,1964.0416666666458
89,0.0,18420,77420,1507.2916666666601
90,0.0,18111,77737,1481.9791666666636
91,0.0,25213,70571,2067.3749999999773
92,0.0,18167,77673,1485.083333333325
93,0.0,20338,75486,1673.1041666666556
94,0.0,19175,76629,1564.1458333333223
95,0.0,20251,75569,1661.312499999986
96,0.0,17961,77883,1468.3124999999966
97,0.0,18462,77382,1506.1874999999918
98,0.0,21421,74383,1765.8749999999864
99,0.0,20548,75268,1692.6458333333226
