episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
130,11541.262961615872,115360,5615,19360,5615,96000,0,0.26804671691687404
131,10538.032377036709,114173,6624,19461,5336,94712,1288,0.2653662497477053
132,11555.787112837776,115072,5888,19690,5270,95382,618,0.2627125872502282
133,11119.728863738232,114770,6130,19435,5465,95335,665,0.2600854613777259
134,11411.955629568354,115424,5497,19746,5175,95678,322,0.2574846067639487
135,12168.284247655029,115595,5145,20058,4682,95537,463,0.2549097606963092
136,11454.416914160805,115784,5238,19890,5132,95894,106,0.2523606630893461
137,11657.420808986839,115874,5055,20216,4713,95658,342,0.24983705645845267
138,11665.583695416723,115957,4847,19983,4821,95974,26,0.24733868589386815
139,11227.781388954112,115334,5567,20224,4677,95110,890,0.24486529903492946
140,11020.075798043745,114813,5978,19949,4842,94864,1136,0.24241664604458016
141,11892.054432567566,115820,5046,19897,4969,95923,77,0.23999247958413436
142,12255.698184039835,115979,4721,20076,4624,95903,97,0.23759255478829303
143,11486.015326790317,115422,5358,20184,4596,95238,762,0.2352166292404101
144,12037.927782750501,116273,4602,20453,4422,95820,180,0.232864462948006
145,12613.569259994607,116480,4282,20532,4230,95948,52,0.23053581831852593
146,12353.61211913625,116125,4757,20125,4757,96000,0,0.22823046013534068
147,12743.441954740443,116510,4314,20741,4083,95769,231,0.22594815553398728
148,12405.035653387973,116539,4285,20708,4116,95831,169,0.22368867397864742
149,12029.351823441375,116160,4641,20370,4431,95790,210,0.22145178723886094
150,11760.830188602087,116152,4675,20226,4601,95926,74,0.21923726936647234
151,12130.408451224104,116222,4714,20396,4540,95826,174,0.2170448966728076
152,12127.945724304896,116504,4317,20517,4304,95987,13,0.21487444770607952
153,11296.944439277933,115923,4873,20608,4188,95315,685,0.21272570322901874
154,12040.211549804122,116295,4498,20370,4423,95925,75,0.21059844619672854
155,12237.06571735684,116502,4344,20502,4344,96000,0,0.20849246173476127
156,11814.167412978391,116633,4441,20804,4270,95829,171,0.20640753711741366
157,11457.28523975241,115275,5392,20472,4195,94803,1197,0.20434346174623952
158,12035.820085253046,116387,4404,20387,4404,96000,0,0.20230002712877712
159,11860.01367382468,116032,4660,20374,4318,95658,342,0.20027702685748935
160,11519.98124515242,114943,6083,19992,5034,94951,1049,0.19827425658891445
161,11575.221425347801,115717,5082,20072,4727,95645,355,0.1962915140230253
162,12107.245587213498,116378,4410,20863,3925,95515,485,0.19432859888279505
163,12511.713263812915,116683,4090,20738,4035,95945,55,0.1923853128939671
164,9697.210680814953,112342,8347,19796,4893,92546,3454,0.19046145976502743
165,11712.873519518924,115639,5132,20075,4696,95564,436,0.18855684516737714
166,11962.995201508991,116156,4682,20353,4485,95803,197,0.18667127671570335
167,12251.961613172556,116498,4278,20675,4101,95823,177,0.18480456394854633
168,11912.940909390218,116265,4546,20779,4032,95486,514,0.18295651830906087
169,12125.5719897238,116543,4233,20601,4175,95942,58,0.18112695312597027
170,12652.28095083084,117184,3829,21306,3707,95878,122,0.17931568359471056
171,12361.546052266845,116230,4683,20529,4384,95701,299,0.17752252675876345
172,12092.358608620478,116695,4100,20926,3869,95769,231,0.17574730149117582
173,12013.10557381376,116591,4278,21102,3767,95489,511,0.17398982847626407
174,11477.760678862705,115524,5434,20464,4494,95060,940,0.17224993019150142
175,11066.910930023676,114750,6041,20347,4444,94403,1597,0.1705274308895864
176,10910.283845289026,115045,5778,20049,4774,94996,1004,0.16882215658069055
177,11813.937535780762,115970,4874,20273,4571,95697,303,0.16713393501488363
178,12527.689708141184,117089,3776,21089,3776,96000,0,0.16546259566473479
179,12677.39385028662,116931,3804,20976,3759,95955,45,0.16380796970808745
180,12074.292994401338,116787,4057,20948,3896,95839,161,0.16216989001100657
181,11647.500510425223,114971,5899,20297,4573,94674,1326,0.1605481911108965
182,11902.92644287259,116472,4350,20623,4199,95849,151,0.15894270919978754
183,10785.298075476407,113781,7153,20150,4784,93631,2369,0.15735328210778965
184,12028.730649700481,116386,4646,20695,4337,95691,309,0.15577974928671176
185,12055.824662057656,116868,3925,21100,3693,95768,232,0.15422195179384465
186,11386.692483793027,115477,5434,20634,4277,94843,1157,0.1526797322759062
187,12078.640936922355,116124,4579,20680,4023,95444,556,0.15115293495314713
188,12050.77733555653,116774,4138,20935,3977,95839,161,0.14964140560361566
189,12834.363159853337,117126,3570,21126,3570,96000,0,0.1481449915475795
190,12396.33915706593,117009,3825,21352,3482,95657,343,0.1466635416321037
191,12428.628397740016,116271,4581,20853,3999,95418,582,0.14519690621578268
192,12444.843815706627,116646,4240,20882,4004,95764,236,0.14374493715362485
193,12663.486358762995,116473,4290,20714,4049,95759,241,0.1423074877820886
194,12189.702409657775,116235,4632,20994,3873,95241,759,0.1408844129042677
195,12591.164645551546,117231,3559,21244,3546,95987,13,0.13947556877522502
196,12376.549773932844,116857,3914,21086,3685,95771,229,0.13808081308747278
197,10994.14448709102,115330,5622,20609,4343,94721,1279,0.13670000495659804
198,12261.436437548882,115898,4924,20796,4026,95102,898,0.13533300490703207
199,10803.822093805798,113688,7204,20730,4162,92958,3042,0.13397967485796175
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,7673.894602239063,108717,12263,12812,12168,95905,95,0.99
1,7583.456549659663,108692,12009,12831,11870,95861,139,0.9801
2,8145.923539119935,108880,11819,12880,11819,96000,0,0.9702989999999999
