episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
77,9331.174521643192,114450,6411,18450,6411,96000,0,37.915058963274795,0.30762808275238346
78,9923.227479652394,115183,5620,19183,5620,96000,0,38.280033323902785,0.3030136615110977
79,9312.36982131331,114651,6281,18651,6281,96000,0,37.726504669649955,0.29846845658843124
80,9263.650129357968,114958,5849,18958,5849,96000,0,37.98004380140652,0.2939914297396048
81,9520.553322706317,114808,5857,18808,5857,96000,0,37.98060060105465,0.28958155829351073
82,9615.806654045273,115180,5570,19180,5570,96000,0,38.12934353266951,0.2852378349191081
83,9556.297623837447,115136,5728,19136,5728,96000,0,37.76636135341399,0.28095926739532145
84,9483.916840007032,115097,5716,19097,5716,96000,0,38.060716969844734,0.2767448783843916
85,10072.52699670511,115252,5475,19252,5475,96000,0,38.097851915945036,0.27259370520862575
86,9686.3522612691,114909,5964,18909,5964,96000,0,37.994481621349564,0.26850479963049634
87,9334.832497970536,115049,5780,19049,5780,96000,0,38.09081752792526,0.26447722763603887
88,9578.95998786607,114810,5996,18810,5996,96000,0,37.74043200957507,0.2605100692214983
89,9281.237055900365,114742,6152,18742,6152,96000,0,37.84011779598568,0.2566024181831758
90,9265.838231447422,114984,5781,18984,5781,96000,0,38.047535480203486,0.2527533819104282
91,9208.808316237535,114374,6469,18374,6469,96000,0,37.97302245497393,0.24896208118177174
92,9863.550268079836,115447,5432,19447,5432,96000,0,38.264128473801556,0.24522764996404517
93,9708.03260131797,115281,5599,19281,5599,96000,0,38.07960785580345,0.2415492352145845
94,9709.628286584193,114386,6444,18386,6444,96000,0,37.7592650470426,0.23792599668636571
95,9687.77934954744,114951,5917,18951,5917,96000,0,38.03818873079522,0.23435710673607021
96,9889.795592556842,115165,5660,19165,5660,96000,0,37.96642656302607,0.23084175013502917
97,9537.17983647138,115186,5628,19186,5628,96000,0,37.884779327767696,0.22737912388300371
98,10170.248131223767,116064,4869,20064,4869,96000,0,38.33380526759109,0.22396843702475866
99,10316.731185893812,115465,5288,19465,5288,96000,0,38.158464842365,0.22060891046938727
100,10259.24227383393,114855,5764,18855,5764,96000,0,38.120346064052306,0.21729977681234647
101,9559.900651517682,114919,5985,18919,5985,96000,0,37.76362005100454,0.21404028016016127
102,9796.28780252004,115505,5380,19505,5380,96000,0,38.09965164003637,0.21082967595775884
103,9652.465330277222,115399,5412,19399,5412,96000,0,38.08556671919961,0.20766723081839245
104,9784.963037143028,115819,5058,19819,5058,96000,0,38.18695794542443,0.20455222235611656
105,10113.505304677888,115498,5408,19498,5408,96000,0,38.16717557743753,0.2014839390207748
