episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,2400.6222834140085,99480,21404,11687,13197,87793,8207,0.99
1,829.9920712459083,95942,24713,11382,13273,84560,11440,0.9801
2,5014.467482057744,104772,16132,12293,12611,92479,3521,0.9702989999999999
3,2698.934128880892,99890,20831,11827,12894,88063,7937,0.96059601
4,840.2445200552881,96053,24740,11417,13376,84636,11364,0.9509900498999999
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,-45912.994182036826,0,120879,0,24879,0,96000,0.99
1,-47354.21105577426,0,120708,0,24708,0,96000,0.9801
2,-46026.26768075319,0,120798,0,24798,0,96000,0.9702989999999999
3,-47832.379521821036,0,120935,0,24935,0,96000,0.96059601
4,-44812.392400890116,0,120821,0,24821,0,96000,0.9509900498999999
5,-46159.915786659476,0,120696,0,24696,0,96000,0.9414801494009999
6,-47021.272001521465,0,120836,0,24836,0,96000,0.9320653479069899
7,-46719.223967180755,0,120809,0,24809,0,96000,0.92274469442792
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,-2563.1719014707337,89513,31271,0,24784,89513,6487,0.99
1,-4415.981936635478,85784,35155,0,24939,85784,10216,0.9801
2,-8595.913841030631,75747,45085,0,24832,75747,20253,0.9702989999999999
3,-7246.602832417454,79106,41984,0,25090,79106,16894,0.96059601
4,-3501.275552800099,87546,33153,0,24699,87546,8454,0.9509900498999999
episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,-46795.6631427259,0,120797,0,24797,0,96000,0.99
1,-46049.44263323954,0,120878,0,24878,0,96000,0.9801
2,-45187.05363898374,0,120822,0,24822,0,96000,0.9702989999999999
