episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
136,5141.020974899523,104826,15966,13641,11151,91185,4815,0.2523606630893461
137,5371.61894501097,105613,15239,15281,9571,90332,5668,0.24983705645845267
138,6474.063312458995,107800,13151,18323,6628,89477,6523,0.24733868589386815
139,3818.0659276043357,102316,18443,14716,10043,87600,8400,0.24486529903492946
140,6345.2126162989625,107929,12990,15111,9808,92818,3182,0.24241664604458016
141,3446.4728942458123,101995,18907,12833,12069,89162,6838,0.23999247958413436
142,4995.251377501467,105215,15586,11851,12950,93364,2636,0.23759255478829303
143,2107.8343207117637,99228,21683,10939,13972,88289,7711,0.2352166292404101
144,4171.06132309721,103673,17183,10360,14496,93313,2687,0.232864462948006
145,5337.225649811219,105680,15140,12011,12809,93669,2331,0.23053581831852593
146,2122.280188801635,98741,22078,11197,13622,87544,8456,0.22823046013534068
147,5284.967219815197,105705,15184,11433,13456,94272,1728,0.22594815553398728
148,2709.4804800331176,100321,20446,13694,11073,86627,9373,0.22368867397864742
149,4412.677270826965,103818,16969,13635,11152,90183,5817,0.22145178723886094
150,5581.512548980545,106403,14414,12182,12635,94221,1779,0.21923726936647234
151,5670.450249948755,106724,14114,11876,12962,94848,1152,0.2170448966728076
152,6655.282994178297,107616,13193,14362,10447,93254,2746,0.21487444770607952
153,4825.954816965352,104644,16084,16389,8339,88255,7745,0.21272570322901874
154,4480.050345466645,104177,16668,12280,12565,91897,4103,0.21059844619672854
155,5443.359749660512,105622,15158,12045,12735,93577,2423,0.20849246173476127
156,5730.329064882055,106374,14355,12033,12696,94341,1659,0.20640753711741366
157,2225.2899725163156,99218,21778,11586,13410,87632,8368,0.20434346174623952
158,4342.520441959187,102999,17829,17372,7456,85627,10373,0.20230002712877712
159,897.0961179795432,96489,24456,11893,13052,84596,11404,0.20027702685748935
160,6494.86901257522,107740,12978,12136,12582,95604,396,0.19827425658891445
161,4903.639487100622,104956,15873,13720,11109,91236,4764,0.1962915140230253
162,4799.099730168347,104632,16340,11969,13003,92663,3337,0.19432859888279505
