episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
56,6985.0,16785,79051,0.0,0.05
57,6272.5,25406,70354,0.0,0.05
58,6490.0,16619,79217,0.0,0.05
59,6210.0,16083,79761,0.0,0.05
60,6515.0,14213,81643,0.0,0.05
61,6315.0,22455,73333,0.0,0.05
62,6365.0,16332,79512,0.0,0.05
63,6382.5,23250,72530,0.0,0.05
64,6630.0,19136,76688,0.0,0.05
65,5920.0,26550,69206,0.0,0.05
66,6790.0,20924,74880,0.0,0.05
67,6410.0,22084,73712,0.0,0.05
68,6560.0,27236,68512,0.0,0.05
69,6487.5,14558,81274,0.0,0.05
70,6350.0,19654,76158,0.0,0.05
71,6290.0,21313,74487,0.0,0.05
72,6470.0,25482,70274,0.0,0.05
73,6262.5,26573,69179,0.0,0.05
74,6557.5,18701,77103,0.0,0.05
75,6150.0,21706,74090,0.0,0.05
76,6680.0,18946,76870,0.0,0.05
77,6825.0,18500,77320,0.0,0.05
78,6405.0,25124,70644,0.0,0.05
79,6557.5,18870,76954,0.0,0.05
80,6917.5,12287,83593,0.0,0.05
81,6695.0,18841,76987,0.0,0.05
82,6852.5,19954,75842,0.0,0.05
83,6260.0,20748,75056,0.0,0.05
84,6772.5,18541,77235,0.0,0.05
85,6580.0,18124,77664,0.0,0.05
86,6675.0,22595,73181,0.0,0.05
87,6932.5,19120,76704,0.0,0.05
88,6602.5,23653,72123,0.0,0.05
89,6107.5,20199,75609,0.0,0.05
90,6330.0,19915,75897,0.0,0.05
91,6187.5,24620,71144,0.0,0.05
92,6242.5,20780,75008,0.0,0.05
93,6740.0,16660,79180,0.0,0.05
94,6535.0,24718,71026,0.0,0.05
95,6592.5,19748,76064,0.0,0.05
96,6992.5,12050,83830,0.0,0.05
97,6432.5,26741,69007,0.0,0.05
98,7105.0,15348,80508,0.0,0.05
99,7050.0,11607,84289,0.0,0.05
