episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,131431.66,70469,87883,0.0,0.97,0.0009551309
1,121797.42,65989,100379,0.0,0.9409,0.0009070891
2,130574.5,70071,92345,0.0,0.9127,0.0008645710
3,147070.96,78246,93274,0.0,0.8853,0.0008235516
4,147569.14,78752,84544,0.0,0.8587,0.0007875442
5,136792.98,73394,95614,0.0,0.833,0.0007497292
6,130613.24,70048,90384,0.0,0.808,0.0007154452
7,150130.75,80290,91102,0.0,0.7837,0.0006823194
8,163677.22,87207,90937,0.0,0.7602,0.0006505322
9,150815.09,80768,88032,0.0,0.7374,0.0006215299
10,136993.96,73508,96412,0.0,0.7153,0.0005911539
11,136703.48,73491,91037,0.0,0.6938,0.0005636138
12,136470.34,73081,92311,0.0,0.673,0.0005375180
13,152218.41,80575,95185,0.0,0.6528,0.0005114013
14,156969.99,83473,98847,0.0,0.6333,0.0004856785
15,154682.4,82268,89572,0.0,0.6143,0.0004637474
16,154100.33,82527,88529,0.0,0.5958,0.0004428066
17,131823.9,70811,87349,0.0,0.578,0.0004233191
18,148355.83,78871,82585,0.0,0.5606,0.0004052969
19,166052.35,88347,87941,0.0,0.5438,0.0003871116
20,166279.23,88605,88419,0.0,0.5275,0.0003698532
21,160960.23,85938,86302,0.0,0.5117,0.0003534702
22,152447.7,81427,81997,0.0,0.4963,0.0003386248
23,150463.88,80767,89073,0.0,0.4814,0.0003237223
24,159005.16,83879,86777,0.0,0.467,0.0003100333
25,161871.74,86584,83544,0.0,0.453,0.0002969231
26,129966.93,70012,79860,0.0,0.4394,0.0002853930
27,160761.97,85538,84398,0.0,0.4262,0.0002733248
28,138981.4,74930,85822,0.0,0.4134,0.0002614529
29,149408.98,79717,91979,0.0,0.401,0.0002495719
30,148004.16,79166,82642,0.0,0.389,0.0002390901
31,156179.48,83153,81631,0.0,0.3773,0.0002289112
32,143183.73,77467,89253,0.0,0.366,0.0002187058
33,156201.84,82488,90760,0.0,0.355,0.0002087673
34,161772.77,86510,92402,0.0,0.3444,0.0001988624
35,157662.33,85515,76293,0.0,0.334,0.0001911975
36,152008.72,82154,80902,0.0,0.324,0.0001832774
37,161087.54,85411,87629,0.0,0.3143,0.0001750539
38,147681.15,79817,87255,0.0,0.3049,0.0001676515
39,160809.41,85282,85326,0.0,0.2957,0.0001605140
40,160170.51,85752,81384,0.0,0.2868,0.0001542346
41,145546.87,78019,79245,0.0,0.2782,0.0001479344
42,159237.67,84983,74633,0.0,0.2699,0.0001423178
43,164272.27,87591,82249,0.0,0.2618,0.0001362588
44,145683.71,78234,82998,0.0,0.2539,0.0001304969
45,152383.77,83675,82261,0.0,0.2463,0.0001252415
46,145603.49,78009,78791,0.0,0.2389,0.0001207398
47,157543.38,85539,84413,0.0,0.2318,0.0001155995
48,175083.51,94216,92312,0.0,0.2248,0.0001102471
49,144811.43,78619,83637,0.0,0.2181,0.0001057437
50,156654.64,81600,81776,0.0,0.2115,0.0001015156
51,160879.3,86784,70224,0.0,0.2052,0.0000978961
52,144181.71,78779,76469,0.0,0.199,0.0000943207
53,141821.1,77366,85626,0.0,0.1931,0.0000903594
54,173899.66,91276,87668,0.0,0.1873,0.0000863827
55,148615.62,80999,79273,0.0,0.1816,0.0000829536
56,145832.59,79625,75095,0.0,0.1762,0.0000799240
57,155600.89,84070,75962,0.0,0.1709,0.0000768204
58,146985.1,80293,84315,0.0,0.1658,0.0000737709
59,159895.34,86594,76366,0.0,0.1608,0.0000711406
60,159083.97,85063,82953,0.0,0.156,0.0000681119
61,145697.19,80415,80673,0.0,0.1513,0.0000653885
62,160712.86,83100,82196,0.0,0.1468,0.0000630193
63,158956.88,86623,89713,0.0,0.1424,0.0000602278
64,161989.08,87803,80901,0.0,0.1381,0.0000580978
65,134099.65,72280,87704,0.0,0.1339,0.0000556411
66,150427.84,80522,93718,0.0,0.1299,0.0000530967
67,145453.28,75733,84795,0.0,0.126,0.0000508514
68,148576.65,78013,93939,0.0,0.1223,0.0000486719
69,148640.35,79264,85232,0.0,0.1186,0.0000466557
70,145139.58,80021,81931,0.0,0.115,0.0000448036
71,144843.11,74724,79324,0.0,0.1116,0.0000434011
72,138268.9,76892,84308,0.0,0.1082,0.0000416033
73,138575.59,71082,90294,0.0,0.105,0.0000399158
74,165398.36,82378,92886,0.0,0.1018,0.0000381591
75,147560.08,79877,88155,0.0,0.0988,0.0000365675
76,132495.89,69251,92445,0.0,0.0958,0.0000348639
77,158912.31,85136,84128,0.0,0.0929,0.0000334097
78,136600.56,72757,95291,0.0,0.0902,0.0000318437
79,143214.66,73973,91739,0.0,0.0874,0.0000306347
80,147713.12,77258,92278,0.0,0.0848,0.0000294274
81,138256.5,74246,86010,0.0,0.0823,0.0000282847
82,132415.58,68495,87041,0.0,0.0798,0.0000271293
83,160072.82,87037,95139,0.0,0.0774,0.0000258809
84,138902.13,71147,95749,0.0,0.0751,0.0000246308
85,145975.43,81697,84319,0.0,0.0728,0.0000236318
86,145006.59,78621,89011,0.0,0.0707,0.0000226665
87,148022.26,75251,91213,0.0,0.0685,0.0000220427
88,146836.12,80367,90657,0.0,0.0665,0.0000210853
89,144074.15,78831,88305,0.0,0.0645,0.0000201937
90,142833.92,78654,85266,0.0,0.0626,0.0000193688
91,143694.09,72695,97161,0.0,0.0607,0.0000186558
92,134297.65,74560,96928,0.0,0.0589,0.0000177974
93,150280.95,81402,86950,0.0,0.0571,0.0000170499
94,129480.13,70341,87163,0.0,0.0554,0.0000163191
95,139073.43,69945,96199,0.0,0.0537,0.0000157562
96,131369.68,71161,93767,0.0,0.0521,0.0000150267
97,142209.39,71324,90964,0.0,0.0505,0.0000144258
98,155727.98,81124,106556,0.0,0.05,0.0000136264
99,134193.38,71985,96575,0.0,0.05,0.0000129644
100,135992.32,65518,103554,0.0,0.05,0.0000125434
101,127434.67,64003,92285,0.0,0.05,0.0000119555
102,134085.24,65806,96578,0.0,0.05,0.0000114637
103,140125.35,70823,100121,0.0,0.05,0.0000111482
104,134065.23,66034,94654,0.0,0.05,0.0000108382
105,136374.1,70394,96694,0.0,0.05,0.0000103054
106,140368.73,73826,93150,0.0,0.05,0.0000098253
107,130533.13,69766,94858,0.0,0.05,0.0000093507
108,110389.48,54027,94213,0.0,0.05,0.0000089849
109,122004.1,62997,93291,0.0,0.05,0.0000085689
