episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
88,8599.237951215468,114475,6280,18475,6280,96000,0,37.236073243644626,0.2605100692214983
89,8894.767645405893,114758,6212,18758,6212,96000,0,37.56529645314084,0.2566024181831758
90,9372.833652168696,114653,6106,18653,6106,96000,0,37.666084157146955,0.2527533819104282
91,9336.903270938918,114892,6035,18892,6035,96000,0,37.6810449911012,0.24896208118177174
92,9366.976064670527,115234,5784,19234,5784,96000,0,37.76095348320096,0.24522764996404517
93,9370.30768680663,114478,6430,18478,6430,96000,0,37.566590190799175,0.2415492352145845
94,9191.77342974208,114441,6430,18441,6430,96000,0,37.85507428190115,0.23792599668636571
95,9774.18618352671,115282,5460,19282,5460,96000,0,37.94880156319645,0.23435710673607021
96,9085.527779259619,115267,5610,19267,5610,96000,0,37.818311765686,0.23084175013502917
97,8999.86583457573,114454,6326,18454,6326,96000,0,37.51534872275877,0.22737912388300371
98,9260.821709941483,115460,5684,19460,5684,96000,0,37.649773230860305,0.22396843702475866
99,9467.90669837894,115298,5600,19298,5600,96000,0,37.87167675169394,0.22060891046938727
100,9349.171635963185,115380,5423,19380,5423,96000,0,37.82075979735541,0.21729977681234647
101,9315.188620003002,115172,5652,19172,5652,96000,0,37.64448354783152,0.21404028016016127
102,9129.858612962393,115293,5560,19293,5560,96000,0,37.80826733305773,0.21082967595775884
103,9688.713707281473,115776,5202,19776,5202,96000,0,37.916541295753746,0.20766723081839245
104,10013.379715046132,115261,5522,19261,5522,96000,0,37.587044210004386,0.20455222235611656
105,9468.951169113845,115344,5480,19344,5480,96000,0,37.91176614003592,0.2014839390207748
106,9673.4883353696,115572,5305,19572,5305,96000,0,37.699744417262714,0.19846167993546318
107,9985.08908538725,115586,5237,19586,5237,96000,0,37.85117512954148,0.19548475473643123
108,9828.136665590388,115282,5475,19282,5475,96000,0,37.95265144885796,0.19255248341538475
109,9214.880508212402,115227,5830,19227,5830,96000,0,37.594384172074825,0.18966419616415398
110,9779.642857879262,115920,5018,19920,5018,96000,0,38.15558856254673,0.18681923322169167
111,9791.170404987974,115813,4989,19813,4989,96000,0,38.01512461178405,0.1840169447233663
112,9506.58781091923,115566,5412,19566,5412,96000,0,37.73124181523677,0.1812566905525158
113,9640.662766887132,115794,4986,19794,4986,96000,0,37.84843986438147,0.17853784019422808
114,9302.972028257498,114844,6146,18844,6146,96000,0,37.6600951795944,0.17585977259131466
115,9436.396971123231,115742,5104,19742,5104,96000,0,37.84762505143149,0.17322187600244493
116,9588.650630826342,115583,5324,19583,5324,96000,0,37.86931993671302,0.17062354786240824
117,9896.025428533703,115618,5148,19618,5148,96000,0,37.81992233214449,0.16806419464447211
118,9270.896542684975,115496,5353,19496,5353,96000,0,37.76701044719216,0.16554323172480503
119,9765.314470286696,115393,5425,19393,5425,96000,0,38.020943297155846,0.16306008324893295
120,9660.73031191053,115758,5142,19758,5142,96000,0,37.95586919256435,0.16061418200019895
121,9854.363786708564,115475,5320,19475,5320,96000,0,37.91328639148362,0.15820496927019595
122,9550.304561944859,115559,5339,19559,5339,96000,0,37.78802600776019,0.155831894731143
123,9444.071444710025,116188,4594,20188,4594,96000,0,38.00799862848114,0.15349441631017585
124,9112.97623605048,115406,5322,19406,5322,96000,0,37.706697892114775,0.15119200006552322
125,9891.598575311871,115833,5092,19833,5092,96000,0,37.639667332703034,0.14892412006454037
126,9183.764722060936,115265,5646,19265,5646,96000,0,37.7411513181057,0.14669025826357227
127,10105.12301238153,116077,4719,20077,4719,96000,0,37.92263747015035,0.14448990438961867
128,9633.118950495144,115741,5070,19741,5070,96000,0,37.89099315628506,0.1423225558237744
129,9409.507442716784,115659,5063,19659,5063,96000,0,37.80247377376669,0.14018771748641778
130,9485.469854484527,116022,4822,20022,4822,96000,0,37.78342352723776,0.13808490172412152
131,9573.090261376645,116251,4591,20251,4591,96000,0,37.95205634438127,0.1360136281982597
132,9597.054334513718,115348,5478,19348,5478,96000,0,37.75736191608917,0.13397342377528582
133,9396.270384449821,115482,5494,19482,5494,96000,0,37.827987643268685,0.13196382241865653
134,9972.963722136314,116667,4141,20667,4141,96000,0,38.11034975257355,0.12998436508237668
135,9805.019434366373,116338,4380,20338,4380,96000,0,38.18519970500418,0.12803459960614103
136,9943.881021110708,115789,5082,19789,5082,96000,0,37.84607199814023,0.1261140806120489
137,9614.316588998701,116387,4533,20387,4533,96000,0,38.113609262697935,0.12422236940286817
