episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,64832,29788,5352.666666666606
1,0.0,63717,30923,5259.749999999953
2,0.0,65373,29255,5397.749999999945
3,0.0,65185,29447,5382.083333333278
4,0.0,64917,29715,5359.749999999951
5,0.0,64994,29634,5366.166666666598
6,0.0,69647,24945,5753.916666666583
7,0.0,64114,30526,5292.833333333291
8,0.0,68292,26308,5640.999999999936
9,0.0,68745,25855,5678.749999999889
10,0.0,66025,28603,5452.083333333274
11,0.0,68810,25786,5684.166666666585
12,0.0,69820,24764,5768.333333333233
13,0.0,67980,26628,5614.999999999918
14,0.0,64693,29939,5341.08333333329
15,0.0,72154,22410,5962.833333333206
16,0.0,70604,23976,5833.666666666564
17,0.0,69677,24911,5756.416666666557
18,0.0,69044,25544,5703.666666666587
19,0.0,68591,25997,5665.916666666585
20,0.0,65875,28753,5439.583333333262
21,0.0,66435,28169,5486.249999999938
22,0.0,65102,29518,5375.1666666666115
23,0.0,72016,22552,5951.333333333221
24,0.0,62039,32621,5119.916666666657
25,0.0,69428,25168,5735.666666666607
26,0.0,66835,27781,5519.583333333287
27,0.0,66180,28444,5464.999999999925
28,0.0,68095,26505,5624.5833333332575
29,0.0,65684,28940,5423.666666666603
30,0.0,64844,29792,5353.666666666634
31,0.0,66549,28067,5495.74999999994
32,0.0,63322,31334,5226.833333333302
33,0.0,67385,27223,5565.416666666597
34,0.0,71979,22589,5948.249999999864
35,0.0,69828,24760,5768.999999999897
36,0.0,68353,26231,5646.083333333248
37,0.0,67734,26866,5594.49999999991
38,0.0,63050,31598,5204.166666666639
39,0.0,69031,25565,5702.583333333254
40,0.0,66663,27953,5505.249999999941
41,0.0,68292,26308,5640.999999999914
42,0.0,65648,28968,5420.66666666661
43,0.0,67898,26710,5608.166666666613
44,0.0,70238,24334,5803.166666666561
45,0.0,69159,25441,5713.249999999916
46,0.0,63359,31289,5229.916666666638
47,0.0,66597,28023,5499.749999999954
48,0.0,63839,30809,5269.916666666636
49,0.0,64349,30295,5312.4166666666215
50,0.0,65619,28993,5418.24999999994
51,0.0,67062,27550,5538.499999999906
52,0.0,65668,28956,5422.333333333284
53,0.0,66882,27734,5523.499999999919
54,0.0,69445,25147,5737.08333333323
55,0.0,68942,25654,5695.166666666588
56,0.0,65067,29565,5372.249999999959
57,0.0,66181,28439,5465.083333333274
58,0.0,69423,25169,5735.249999999918
59,0.0,64631,30009,5335.916666666623
60,0.0,68177,26431,5631.416666666588
61,0.0,64503,30137,5325.2499999999545
62,0.0,66220,28400,5468.3333333332785
63,0.0,68203,26401,5633.583333333258
64,0.0,69347,25245,5728.916666666565
65,0.0,67184,27432,5548.66666666661
66,0.0,67395,27217,5566.249999999908
67,0.0,66659,27961,5504.9166666666
68,0.0,66975,27633,5531.249999999952
69,0.0,68358,26242,5646.499999999932
70,0.0,65923,28705,5443.583333333292
71,0.0,70409,24175,5817.416666666549
72,0.0,69673,24907,5756.083333333258
73,0.0,68233,26367,5636.083333333254
74,0.0,68460,26144,5654.999999999907
75,0.0,64707,29913,5342.249999999985
76,0.0,64940,29696,5361.666666666624
77,0.0,68846,25750,5687.166666666577
78,0.0,66484,28136,5490.333333333293
79,0.0,65418,29214,5401.49999999995
80,0.0,65021,29611,5368.41666666662
81,0.0,62247,32413,5137.249999999979
82,0.0,70931,23637,5860.916666666562
83,0.0,70419,24165,5818.249999999893
84,0.0,62307,32357,5142.249999999994
85,0.0,70404,24168,5816.9999999999
86,0.0,70205,24375,5800.4166666665715
87,0.0,66296,28328,5474.666666666595
88,0.0,70334,24250,5811.166666666568
89,0.0,67130,27482,5544.1666666665815
90,0.0,66775,27841,5514.5833333332685
91,0.0,65995,28633,5449.583333333265
92,0.0,67652,26944,5587.6666666665815
93,0.0,64020,30620,5284.999999999966
94,0.0,68335,26273,5644.58333333325
95,0.0,67562,27046,5580.166666666577
96,0.0,64462,30178,5321.833333333296
97,0.0,68872,25728,5689.333333333232
98,0.0,66036,28588,5452.999999999939
99,0.0,67377,27235,5564.74999999993
