episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,-1484.3490858772834,90837,30011,10741,14107,80096,15904,0.99
1,-101.18491735579022,94049,26739,11274,13514,82775,13225,0.9801
2,-638.62269474748,92400,28496,11003,13893,81397,14603,0.9702989999999999
3,-831.8906978492628,92774,28194,10927,14041,81847,14153,0.96059601
4,-4289.5324831482785,84814,36155,10119,14850,74695,21305,0.9509900498999999
5,-1547.8048200142198,90636,30183,10915,13904,79721,16279,0.9414801494009999
6,641.4610300613526,95467,25358,11306,13519,84161,11839,0.9320653479069899
7,-1171.2699970972544,92183,28626,11039,13770,81144,14856,0.92274469442792
8,1915.528057951352,97994,22742,11282,13454,86712,9288,0.9135172474836407
9,4019.6263582236706,102694,18261,11957,12998,90737,5263,0.9043820750088043
10,536.275754894587,95148,25697,11462,13383,83686,12314,0.8953382542587163
11,481.04706424288156,95319,25533,11289,13563,84030,11970,0.8863848717161291
12,2056.155051560277,98267,22414,11460,13221,86807,9193,0.8775210229989678
13,787.7746606564423,96489,24398,11629,13258,84860,11140,0.8687458127689781
14,806.1578983196224,95974,24839,11251,13562,84723,11277,0.8600583546412883
15,3714.238215444592,101939,18944,12021,12862,89918,6082,0.8514577710948754
16,1179.8957171141367,96881,23916,11634,13163,85247,10753,0.8429431933839266
17,3194.515403814424,101004,19830,12170,12664,88834,7166,0.8345137614500874
18,2031.0650558561108,98438,22404,11795,13047,86643,9357,0.8261686238355865
19,3756.3649164597073,102519,18355,11551,13323,90968,5032,0.8179069375972307
20,2964.7001149342705,100488,20421,11748,13161,88740,7260,0.8097278682212583
21,-1623.9870081476695,90453,30363,11334,13482,79119,16881,0.8016305895390458
22,5062.782225904808,104945,15882,13519,11308,91426,4574,0.7936142836436553
23,3140.525547309395,100873,19855,12587,12141,88286,7714,0.7856781408072188
24,3276.637959478332,101331,19661,11977,13015,89354,6646,0.7778213593991465
25,-647.2526466002146,92429,28491,11062,13858,81367,14633,0.7700431458051551
26,-186.5236945823069,93482,27289,10669,14102,82813,13187,0.7623427143471035
27,622.9216515603372,95911,24900,11230,13581,84681,11319,0.7547192872036325
28,1160.7193144351288,96761,24129,10946,13944,85815,10185,0.7471720943315961
29,47.50243860819852,94377,26468,10424,14421,83953,12047,0.7397003733882802
30,-677.0210071408989,93181,27727,10624,14284,82557,13443,0.7323033696543974
31,3574.345024882134,101613,19141,12176,12578,89437,6563,0.7249803359578534
32,3792.897669115051,102101,18804,12514,12391,89587,6413,0.7177305325982748
33,3043.763831844446,100607,20284,12487,12404,88120,7880,0.7105532272722921
34,2521.637510980794,99613,21203,11321,13495,88292,7708,0.7034476949995692
35,2428.5134900320377,99580,21201,11402,13379,88178,7822,0.6964132180495735
36,1507.4421624462002,97144,23815,12418,12541,84726,11274,0.6894490858690777
37,1020.4314703454971,96597,24341,11358,13580,85239,10761,0.682554595010387
38,-747.4199820458948,92572,28106,10756,13922,81816,14184,0.6757290490602831
39,2327.036279563153,98720,22036,11600,13156,87120,8880,0.6689717585696803
40,3519.5232140176463,101599,19172,11838,12933,89761,6239,0.6622820409839835
41,3115.510344835474,100929,19988,11589,13328,89340,6660,0.6556592205741436
42,1777.222572637492,98300,22519,11096,13723,87204,8796,0.6491026283684022
43,482.6478130095295,95565,25206,10751,14020,84814,11186,0.6426116020847181
44,2985.020896206658,100794,20024,10263,14555,90531,5469,0.6361854860638709
45,5769.624516945168,106233,14671,11308,13596,94925,1075,0.6298236312032323
46,-7746.795853687778,77941,42890,8927,15904,69014,26986,0.6235253948912
47,2058.382713635348,99093,21690,10997,13786,88096,7904,0.617290140942288
48,2942.78966066313,100430,20302,11138,13594,89292,6708,0.6111172395328651
49,1727.1207278807865,98131,22816,10624,14323,87507,8493,0.6050060671375365
50,651.3735840982251,95405,25385,9834,14956,85571,10429,0.5989560064661611
51,2592.2450160979265,99944,20954,12764,12134,87180,8820,0.5929664464014994
52,1787.0438134944454,98020,22699,11635,13084,86385,9615,0.5870367819374844
53,2567.88759068288,99578,21239,11171,13646,88407,7593,0.5811664141181095
54,263.5212567464471,94885,26127,11658,13354,83227,12773,0.5753547499769285
55,1042.7205022255625,95721,25029,12878,11872,82843,13157,0.5696012024771592
56,2626.1589695628213,99707,21147,12967,11887,86740,9260,0.5639051904523876
57,799.754820565746,95935,24970,12166,12739,83769,12231,0.5582661385478638
58,-3039.271018620897,88088,32655,12581,12162,75507,20493,0.5526834771623851
59,736.5314866012415,95836,24928,14356,10408,81480,14520,0.5471566423907612
60,1698.7176993526632,98189,22778,13920,11047,84269,11731,0.5416850759668536
61,3511.3539735793242,101706,19052,14020,10738,87686,8314,0.536268225207185
62,3856.2972080497198,102487,18434,14441,10480,88046,7954,0.5309055429551132
63,-3317.2664624756158,87181,33710,11233,13658,75948,20052,0.525596487525562
64,1242.232868208752,96664,24087,8845,15906,87819,8181,0.5203405226503064
65,-1475.4309018341721,91229,29620,9928,14921,81301,14699,0.5151371174238033
66,-1516.3733780230264,91045,29731,10477,14299,80568,15432,0.5099857462495653
67,374.84194660813523,95038,25773,10692,14119,84346,11654,0.5048858887870696
68,1998.211285845027,98700,22103,9208,15595,89492,6508,0.4998370298991989
69,-159.83108017521326,94373,26455,10079,14749,84294,11706,0.49483865960020695
70,138.45330095358457,94397,26500,9566,15331,84831,11169,0.4898902730042049
71,1998.265401087075,98688,22060,9960,14788,88728,7272,0.48499137027416284
