episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,49293,45475,4057.7500000000896
1,0.0,46036,48760,3786.333333333418
2,0.0,54242,40474,4470.166666666727
3,0.0,49001,45767,4033.4166666667643
4,0.0,47663,47121,3921.916666666751
5,0.0,44067,50757,3622.250000000075
6,0.0,48569,46203,3997.4166666667493
7,0.0,42879,51945,3523.25000000006
8,0.0,48031,46745,3952.5833333334226
9,0.0,46293,48503,3807.7500000000987
10,0.0,54389,40327,4482.416666666727
11,0.0,45579,49225,3748.2500000000737
12,0.0,48060,46716,3955.0000000000823
13,0.0,51207,43545,4217.250000000064
14,0.0,53484,41248,4407.000000000072
15,0.0,50346,44414,4145.5000000000955
16,0.0,46466,48314,3822.166666666737
17,0.0,52344,42396,4312.00000000008
18,0.0,46778,48014,3848.166666666746
19,0.0,53987,40745,4448.916666666729
20,0.0,45719,49085,3759.916666666749
21,0.0,44952,49856,3696.0000000000678
22,0.0,48788,45988,4015.6666666667556
23,0.0,49415,45365,4067.916666666751
24,0.0,49481,45287,4073.416666666768
25,0.0,49362,45406,4063.5000000000996
26,0.0,46952,47836,3862.666666666753
27,0.0,48443,46329,3986.9166666667456
28,0.0,43221,51603,3551.7500000000573
29,0.0,44771,50041,3680.9166666667365
30,0.0,47992,46784,3949.3333333334126
31,0.0,54245,40479,4470.416666666734
32,0.0,50140,44624,4128.333333333441
33,0.0,48026,46750,3952.1666666667516
34,0.0,51502,43246,4241.833333333422
35,0.0,38787,56065,3182.250000000038
36,0.0,41379,53461,3398.2500000000578
37,0.0,47760,47024,3930.0000000001114
38,0.0,50868,43888,4189.000000000097
39,0.0,50781,43971,4181.750000000092
40,0.0,49768,44996,4097.333333333431
41,0.0,50085,44675,4123.750000000094
42,0.0,41537,53303,3411.4166666667306
43,0.0,52314,42426,4309.50000000007
44,0.0,51376,43372,4231.333333333418
45,0.0,47295,47489,3891.250000000084
46,0.0,46046,48754,3787.166666666754
47,0.0,54526,40194,4493.833333333377
48,0.0,48392,46380,3982.666666666748
49,0.0,52866,41870,4355.500000000068
50,0.0,42271,52561,3472.5833333333967
51,0.0,44570,50242,3664.1666666667315
52,0.0,49880,44888,4106.666666666769
53,0.0,48678,46098,4006.5000000000955
54,0.0,48182,46602,3965.1666666667525
55,0.0,50639,44117,4169.916666666759
56,0.0,54844,39856,4520.333333333381
57,0.0,52171,42573,4297.5833333334185
58,0.0,48493,46279,3991.083333333418
59,0.0,45291,49517,3724.250000000077
60,0.0,49277,45495,4056.41666666677
61,0.0,45323,49481,3726.916666666748
62,0.0,44923,49885,3693.5833333333976
63,0.0,41356,53488,3396.3333333333844
64,0.0,43337,51487,3561.4166666667243
65,0.0,45851,48949,3770.9166666667456
66,0.0,48869,45907,4022.416666666774
67,0.0,41363,53485,3396.91666666672
68,0.0,41275,53549,3389.5833333333912
69,0.0,44073,50747,3622.7500000000673
70,0.0,46771,48009,3847.5833333334335
71,0.0,45624,49172,3752.000000000072
72,0.0,53559,41165,4413.250000000062
73,0.0,44016,50800,3618.000000000069
74,0.0,48037,46747,3953.083333333416
75,0.0,44223,50589,3635.2500000000764
76,0.0,47731,47053,3927.583333333424
77,0.0,54708,39992,4509.000000000045
78,0.0,52471,42265,4322.583333333391
79,0.0,56030,38674,4619.16666666671
80,0.0,38773,56087,3181.083333333374
81,0.0,48415,46365,3984.583333333437
82,0.0,44483,50337,3656.9166666667406
83,0.0,48222,46554,3968.500000000086
84,0.0,47245,47539,3887.0833333334235
85,0.0,40980,53868,3365.0000000000573
86,0.0,47462,47326,3905.1666666667693
87,0.0,49256,45524,4054.666666666778
88,0.0,50217,44543,4134.750000000093
89,0.0,40260,54596,3305.0000000000423
90,0.0,48048,46728,3954.0000000000828
91,0.0,45874,48918,3772.833333333414
92,0.0,54737,39983,4511.416666666705
93,0.0,48702,46074,4008.5000000001037
94,0.0,55479,39225,4573.250000000052
95,0.0,47290,47498,3890.8333333334213
96,0.0,48459,46317,3988.250000000074
97,0.0,51651,43097,4254.250000000085
98,0.0,46868,47920,3855.6666666667425
99,0.0,51188,43556,4215.666666666752
