episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,65241,29943,5424.499999999925
1,0.0,62875,32309,5228.333333333297
2,0.0,63884,31300,5314.916666666623
3,0.0,62201,32983,5173.916666666642
4,0.0,63918,31250,5315.249999999958
5,0.0,58929,36255,4901.249999999993
6,0.0,63683,31501,5296.416666666613
7,0.0,64597,30587,5372.333333333276
8,0.0,62982,32202,5237.249999999954
9,0.0,65383,29801,5436.333333333275
10,0.0,64738,30446,5382.333333333263
11,0.0,61213,33971,5091.333333333302
12,0.0,61139,34045,5085.666666666616
13,0.0,68846,26338,5723.166666666583
14,0.0,64286,30898,5346.666666666606
15,0.0,61246,33938,5094.333333333298
16,0.0,57559,37625,4789.833333333336
17,0.0,62667,32517,5211.7499999999545
18,0.0,58893,36291,4899.7499999999745
19,0.0,63205,31979,5256.833333333286
20,0.0,59273,35911,4930.166666666659
21,0.0,65648,29536,5458.666666666617
22,0.0,65205,29979,5421.749999999924
23,0.0,63085,32099,5246.583333333306
24,0.0,61448,33736,5110.916666666626
25,0.0,65061,30123,5409.999999999947
26,0.0,59701,35483,4965.083333333306
27,0.0,61727,33457,5134.166666666626
28,0.0,66951,28233,5566.749999999937
29,0.0,62411,32773,5190.916666666648
30,0.0,61545,33639,5118.749999999964
31,0.0,62581,32603,5205.583333333275
32,0.0,62693,32491,5214.666666666629
33,0.0,65304,29880,5430.249999999951
34,0.0,61396,33788,5106.583333333303
35,0.0,61164,34020,5087.249999999962
36,0.0,64126,31058,5333.833333333275
37,0.0,66169,29015,5502.083333333266
38,0.0,62573,32611,5203.666666666642
39,0.0,67439,27745,5607.916666666571
40,0.0,62439,32745,5192.499999999958
41,0.0,64457,30711,5361.166666666603
42,0.0,64677,30507,5377.7499999999645
43,0.0,69159,26025,5750.49999999993
44,0.0,62192,32992,5173.666666666643
45,0.0,59268,35916,4930.249999999988
46,0.0,59771,35413,4973.166666666661
47,0.0,66510,28674,5528.999999999936
48,0.0,61886,33282,5147.166666666625
49,0.0,66014,29170,5488.666666666601
50,0.0,65312,29856,5430.416666666581
51,0.0,60951,34233,5068.749999999986
52,0.0,59791,35393,4973.083333333324
53,0.0,64125,31059,5332.499999999942
54,0.0,68946,26238,5730.999999999903
55,0.0,61957,33227,5153.333333333289
56,0.0,62449,32735,5193.833333333327
57,0.0,58506,36678,4866.999999999995
58,0.0,60317,34867,5017.666666666637
59,0.0,64258,30926,5344.083333333271
60,0.0,62922,32262,5232.2499999999445
61,0.0,62809,32375,5224.083333333293
62,0.0,66174,29010,5502.749999999909
63,0.0,65613,29571,5455.749999999926
64,0.0,64276,30908,5344.83333333328
65,0.0,66386,28798,5519.416666666601
66,0.0,60793,34391,5056.083333333311
67,0.0,63898,31286,5313.5833333332685
68,0.0,61154,34030,5086.416666666655
69,0.0,64992,30192,5404.49999999994
70,0.0,63013,32171,5240.083333333283
71,0.0,60168,35016,5005.749999999983
72,0.0,65123,30061,5415.666666666592
73,0.0,63189,31979,5255.749999999951
74,0.0,62337,32847,5183.999999999969
75,0.0,66640,28544,5539.833333333248
76,0.0,65263,29921,5427.833333333276
77,0.0,68384,26800,5685.41666666659
78,0.0,62763,32421,5219.999999999968
79,0.0,62554,32630,5201.583333333289
80,0.0,66754,28430,5549.833333333249
81,0.0,65586,29598,5453.74999999995
82,0.0,64456,30728,5359.833333333318
83,0.0,65533,29651,5448.333333333272
84,0.0,61034,34150,5074.666666666643
85,0.0,62454,32730,5194.249999999966
86,0.0,64662,30522,5377.249999999959
87,0.0,64234,30950,5341.583333333262
88,0.0,63319,31865,5266.583333333302
89,0.0,60740,34444,5051.666666666657
90,0.0,63051,32133,5241.9999999999545
91,0.0,61465,33719,5111.833333333286
92,0.0,61314,33870,5100.249999999963
93,0.0,62611,32573,5207.3333333332985
94,0.0,67067,28117,5577.16666666659
95,0.0,63261,31923,5260.749999999942
96,0.0,60605,34579,5041.166666666635
97,0.0,65202,29982,5421.749999999958
98,0.0,65232,29936,5423.749999999935
99,0.0,63684,31500,5296.249999999965
