episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
112,572965.0,35176,47176,0.0,0.7128261288143359
113,590230.0,31882,49542,0.0,0.710693887980788
114,553112.5,32374,49182,0.0,0.7085680252116635
115,534427.5,32042,49414,0.0,0.7064485214285801
116,527220.0,31367,49901,0.0,0.7043353576102236
117,558142.5,31995,49469,0.0,0.7022285147921774
118,526197.5,34331,47737,0.0,0.7001279740667523
119,521057.5,32771,48885,0.0,0.6980337165828167
120,555995.0,32976,48732,0.0,0.6959457235456271
121,548820.0,36467,46201,0.0,0.6938639762166602
122,564465.0,30703,50421,0.0,0.6917884559134441
123,551487.5,34667,47509,0.0,0.6897191440093908
124,547007.5,34224,47816,0.0,0.6876560219336292
125,560207.5,34143,47877,0.0,0.6855990711708382
126,559892.5,33723,48169,0.0,0.6835482732610806
127,555230.0,34782,47414,0.0,0.6815036097996376
128,553650.0,32844,48856,0.0,0.6794650624368437
129,520502.5,31440,49864,0.0,0.6774326128779213
130,548002.5,32203,49301,0.0,0.6754062428828175
131,545250.0,33501,48323,0.0,0.6733859342660397
132,554842.5,34680,47484,0.0,0.6713716688964928
133,561450.0,33124,48648,0.0,0.6693634286973162
134,519915.0,33878,48062,0.0,0.6673611956457219
135,544172.5,34306,47790,0.0,0.6653649517728324
136,548687.5,34266,47806,0.0,0.6633746791635196
137,523862.5,28956,51660,0.0,0.661390359956244
138,574682.5,34055,47925,0.0,0.6594119763428944
139,553970.0,33890,48058,0.0,0.6574395105686283
140,532855.0,30852,50304,0.0,0.6554729449317122
141,531220.0,33875,48073,0.0,0.6535122617833629
142,548087.5,35582,46790,0.0,0.6515574435275892
143,563350.0,32988,48712,0.0,0.6496084726210338
144,549930.0,30450,50598,0.0,0.6476653315728161
145,543625.0,34592,47512,0.0,0.6457280029443749
146,556460.0,33700,48200,0.0,0.6437964693493122
147,554175.0,32905,48767,0.0,0.6418707134532371
148,538110.0,32524,49048,0.0,0.6399507179736101
149,560317.5,33845,48071,0.0,0.6380364656795882
150,545002.5,34619,47553,0.0,0.6361279393918698
151,557842.5,33734,48186,0.0,0.6342251219825414
152,557492.5,31706,49658,0.0,0.6323279963749231
153,518752.5,31305,49887,0.0,0.6304365455434155
154,543217.5,31516,49756,0.0,0.6285507525133474
155,539447.5,31475,49801,0.0,0.6266706003608224
156,544842.5,29855,50949,0.0,0.6247960722125685
157,563852.5,33931,48025,0.0,0.6229271512457853
158,537545.0,33954,48010,0.0,0.6210638206879938
159,540560.0,32601,49007,0.0,0.6192060638168857
160,533600.0,32568,49008,0.0,0.6173538639601732
161,535067.5,30566,50470,0.0,0.6155072044954395
162,536500.0,31529,49775,0.0,0.6136660688499896
163,525042.5,33390,48410,0.0,0.6118304405007017
164,576665.0,33625,48251,0.0,0.6100003029738785
165,558737.5,35239,47093,0.0,0.6081756398450999
166,541572.5,32908,48772,0.0,0.6063564347390752
167,556580.0,37258,45534,0.0,0.6045426713294964
168,563275.0,32221,49255,0.0,0.6027343333388913
169,566830.0,35909,46603,0.0,0.6009314045384779
170,542140.0,32852,48776,0.0,0.5991338687480187
171,548902.5,34229,47767,0.0,0.5973417098356749
172,563217.5,34332,47720,0.0,0.5955549117178625
173,547855.0,31907,49441,0.0,0.5937734583591071
174,538677.5,34457,47587,0.0,0.5919973337719008
175,545575.0,35643,46741,0.0,0.5902265220165579
176,584905.0,34788,47348,0.0,0.5884610072010726
177,557182.5,33723,48129,0.0,0.586700773480976
178,569912.5,33818,48102,0.0,0.584945805059194
179,568817.5,33030,48674,0.0,0.5831960861859052
180,567085.0,32360,49156,0.0,0.5814516011584002
181,562282.5,36061,46459,0.0,0.5797123343209402
182,542162.5,32263,49193,0.0,0.5779782700646164
183,578457.5,32744,48828,0.0,0.5762493928272107
184,575290.0,32594,48994,0.0,0.5745256870930548
185,545062.5,33582,48234,0.0,0.5728071373928921
186,548985.0,33197,48563,0.0,0.5710937283037383
187,541882.5,34277,47775,0.0,0.569385444448743
188,575770.0,35140,47144,0.0,0.5676822704970518
189,537075.0,32765,48827,0.0,0.5659841911636688
190,548287.5,32315,49153,0.0,0.5642911912093194
191,543447.5,36147,46385,0.0,0.5626032554403132
192,564507.5,32901,48735,0.0,0.5609203687084082
193,532815.0,31551,49725,0.0,0.5592425159106745
194,567002.5,34387,47689,0.0,0.5575696819893587
195,561912.5,33712,48184,0.0,0.5559018519317491
196,556260.0,33584,48228,0.0,0.5542390107700407
197,540300.0,33938,48022,0.0,0.5525811435812007
198,557720.0,34798,47306,0.0,0.5509282354868351
199,533845.0,33965,47927,0.0,0.5492802716530549
200,550795.0,32537,49043,0.0,0.5476372372903429
201,570505.0,31484,49736,0.0,0.5459991176534209
202,533475.0,34105,47827,0.0,0.5443658980411177
203,538812.5,31847,49517,0.0,0.5427375637962367
204,526477.5,33327,48409,0.0,0.5411141003054251
205,549362.5,36138,46386,0.0,0.5394954929990418
206,522827.5,33880,48036,0.0,0.5378817273510274
207,537367.5,30690,50298,0.0,0.5362727888787735
208,582197.5,35999,46461,0.0,0.5346686631429929
209,556110.0,33172,48528,0.0,0.5330693357475896
210,594745.0,34490,47562,0.0,0.5314747923395304
211,537000.0,31580,49712,0.0,0.5298850186087152
212,566322.5,33978,47894,0.0,0.5283000002878491
213,548957.5,33966,47942,0.0,0.5267197231523142
214,546312.5,31803,49585,0.0,0.5251441730200421
215,541442.5,33771,48133,0.0,0.5235733357513864
216,552420.0,33409,48339,0.0,0.522007197248996
217,556755.0,33990,47942,0.0,0.5204457434576885
218,546130.0,31197,49963,0.0,0.5188889603643239
219,579270.0,32388,49124,0.0,0.517336833997679
220,594550.0,31820,49496,0.0,0.5157893504283224
221,547522.5,32284,49184,0.0,0.5142464957684887
222,555720.0,33154,48526,0.0,0.5127082561719544
223,554015.0,34348,47732,0.0,0.5111746178339134
224,565350.0,32889,48755,0.0,0.5096455669908534
225,565827.5,33339,48429,0.0,0.5081210899204321
226,526805.0,32727,48825,0.0,0.5066011729413543
227,560910.0,35939,46517,0.0,0.5050858024132487
228,571062.5,36565,46055,0.0,0.503574964736546
229,570440.0,34906,47290,0.0,0.5020686463523564
230,543357.5,35539,46809,0.0,0.5005668337423482
231,574490.0,34881,47235,0.0,0.4990695134286266
232,572770.0,38576,44528,0.0,0.4975766719736123
233,556257.5,31429,49815,0.0,0.49608829597992116
234,564057.5,34026,47850,0.0,0.4946043720902441
235,549620.0,34342,47630,0.0,0.493124886987227
236,537207.5,32913,48699,0.0,0.4916498273933513
237,555095.0,35231,47029,0.0,0.49017918007081474
238,532382.5,32768,48884,0.0,0.48871293182141273
239,537137.5,32503,49029,0.0,0.4872510694864197
240,551625.0,32346,49106,0.0,0.48579357994647127
241,543502.5,33046,48570,0.0,0.48434045012144616
242,592192.5,35516,46800,0.0,0.48289166697034913
243,558220.0,34686,47354,0.0,0.48144721749119374
244,583270.0,38499,44641,0.0,0.48000708872088577
245,548970.0,33298,48450,0.0,0.4785712677351069
246,541067.5,34204,47776,0.0,0.47713974164819856
247,541277.5,35031,47101,0.0,0.47571249761304646
248,589225.0,33724,48076,0.0,0.47428952282096526
249,537487.5,34059,47849,0.0,0.4728708045015836
250,533660.0,33000,48572,0.0,0.47145632992272934
251,575225.0,34924,47208,0.0,0.47004608639031564
252,552987.5,32194,49214,0.0,0.46864006124822677
253,541130.0,35719,46737,0.0,0.46723824187820456
254,575597.5,34798,47306,0.0,0.4658406156997352
255,580677.5,32670,48838,0.0,0.4644471701699365
256,561825.0,33208,48472,0.0,0.46305789278344484
257,550905.0,32747,48769,0.0,0.46167277107230353
258,543545.0,33797,48031,0.0,0.4602917926058506
259,564962.5,35348,46932,0.0,0.45891494499060725
260,532530.0,32859,48737,0.0,0.45754221587016664
261,568582.5,34086,47810,0.0,0.4561735929250831
262,549075.0,33530,48186,0.0,0.45480906387276143
263,542310.0,34377,47599,0.0,0.4534486164673468
264,563502.5,36574,45998,0.0,0.4520922384996147
265,550950.0,35399,46841,0.0,0.4507399177968616
266,560845.0,32534,48918,0.0,0.44939164222279543
267,567127.5,34975,47229,0.0,0.44804739967742685
268,559080.0,33040,48572,0.0,0.4467071780969606
269,555052.5,31595,49605,0.0,0.44537096545368726
270,539760.0,34464,47560,0.0,0.44403874975587526
271,563162.5,33924,47948,0.0,0.4427105190476633
272,557490.0,33604,48148,0.0,0.44138626140895304
273,579110.0,34767,47289,0.0,0.4400659649553022
274,547520.0,30902,50130,0.0,0.43874961783781774
275,566817.5,33708,48048,0.0,0.4374372082430496
276,551982.5,32729,48787,0.0,0.4361287243928848
277,575812.5,36332,46164,0.0,0.43482415454444157
278,574997.5,32952,48640,0.0,0.43352348698996407
279,565205.0,32530,48970,0.0,0.4322267100567172
280,534140.0,31335,49809,0.0,0.430933812106882
281,571040.0,35373,46827,0.0,0.42964478153745106
282,572305.0,34740,47364,0.0,0.4283596067801246
283,568930.0,32683,48837,0.0,0.4270782763012063
284,591522.5,36091,46341,0.0,0.42580077860150023
285,554522.5,33215,48365,0.0,0.42452710221620726
286,557765.0,34261,47651,0.0,0.4232572357148224
287,558560.0,35449,46811,0.0,0.4219911677010321
288,530830.0,36068,46392,0.0,0.42072888681261217
289,560555.0,34449,47507,0.0,0.4194703817213255
290,531110.0,31836,49372,0.0,0.4182156411328206
291,542050.0,34139,47797,0.0,0.4169646537865303
292,553390.0,36015,46381,0.0,0.41571740845557054
293,550510.0,35873,46491,0.0,0.4144738939466396
294,581765.0,35634,46642,0.0,0.4132340990999178
295,556417.5,31819,49449,0.0,0.4119980127889673
296,550422.5,32510,48886,0.0,0.41076562392063215
297,567285.0,34691,47329,0.0,0.40953692143493875
298,568440.0,34360,47548,0.0,0.40831189430499676
299,565790.0,30849,50127,0.0,0.40709053153689995
300,552640.0,35038,47082,0.0,0.40587282216962756
301,538157.5,38592,44484,0.0,0.4046587552749461
302,545492.5,34233,47663,0.0,0.40344831995731106
303,589237.5,35184,46972,0.0,0.4022415053537693
304,539340.0,35546,46726,0.0,0.40103830063386137
305,539630.0,30969,50059,0.0,0.3998386949995245
306,571205.0,34143,47733,0.0,0.39864267768499567
307,549562.5,33755,48009,0.0,0.39745023795671486
308,563795.0,32553,48851,0.0,0.3962613651132288
309,537060.0,32827,48689,0.0,0.395076048485095
310,557187.5,34545,47431,0.0,0.3938942774347859
311,541260.0,31255,49853,0.0,0.39271604135659344
312,549627.5,32822,48702,0.0,0.3915413296765339
313,533482.5,31583,49637,0.0,0.39037013185225294
314,539030.0,32837,48683,0.0,0.3892024373729311
315,559017.5,33516,48244,0.0,0.38803823575918933
316,560972.5,34359,47585,0.0,0.38687751656299507
317,555375.0,33973,47843,0.0,0.3857202693675684
318,557270.0,34048,47808,0.0,0.38456648378728864
319,567070.0,34274,47634,0.0,0.383416149467601
320,567395.0,32146,49218,0.0,0.38226925608492385
321,533372.5,35166,47010,0.0,0.3811257933465559
322,542455.0,33673,48047,0.0,0.3799857509905839
323,588532.5,34188,47688,0.0,0.37884911878579064
324,540497.5,36248,46236,0.0,0.37771588653156285
325,579350.0,32706,48766,0.0,0.37658604405780005
326,545867.5,33904,47892,0.0,0.3754595812248229
327,539165.0,34390,47546,0.0,0.3743364879232825
328,555532.5,33326,48322,0.0,0.3732167540740694
329,566712.5,34818,47270,0.0,0.3721003696282234
330,553090.0,31900,49328,0.0,0.3709873245668432
331,577522.5,36219,46257,0.0,0.36987760890099647
332,556775.0,31933,49363,0.0,0.36877121267163043
333,567800.0,37269,45435,0.0,0.36766812594948217
334,532045.0,35844,46516,0.0,0.36656833883498974
335,568517.5,32269,49103,0.0,0.3654718414582032
336,556892.5,34664,47340,0.0,0.3643786239786962
337,538307.5,36235,46209,0.0,0.3632886765854775
338,568445.0,34294,47638,0.0,0.3622019894969029
339,579975.0,32788,48716,0.0,0.3611185529605877
340,578240.0,35833,46463,0.0,0.36003835725331884
341,582055.0,34000,47820,0.0,0.358961392680968
342,567780.0,34914,47126,0.0,0.35788764957840424
343,546492.5,36398,46066,0.0,0.3568171183094076
344,554087.5,34746,47286,0.0,0.35574978926658235
345,562005.0,34362,47594,0.0,0.3546856528712709
346,591737.5,33623,48133,0.0,0.35362469957346787
347,578547.5,36151,46261,0.0,0.3525669198517343
348,522777.5,33625,48123,0.0,0.35151230421311214
349,545542.5,32525,48887,0.0,0.3504608431930393
350,561312.5,35104,47008,0.0,0.34941252735526435
351,564995.0,34714,47298,0.0,0.3483673472917623
352,542052.5,32396,48972,0.0,0.34732529362264974
353,551617.5,33595,48101,0.0,0.3462863569961009
354,570257.5,33618,48114,0.0,0.34525052808826356
355,548612.5,32531,48849,0.0,0.3442177976031756
356,565197.5,35857,46431,0.0,0.3431881562726814
357,547980.0,34608,47384,0.0,0.3421615948563486
358,553297.5,32593,48807,0.0,0.34113810414138546
359,541857.5,28721,51687,0.0,0.34011767494255785
360,535130.0,31950,49330,0.0,0.339100298102107
361,578280.0,35733,46507,0.0,0.3380859644896674
362,541332.5,33550,48114,0.0,0.3370746650021845
363,554322.5,35245,46903,0.0,0.3360663905638336
364,554355.0,34486,47490,0.0,0.3350611321259377
365,535192.5,32894,48642,0.0,0.3340588806668868
366,536435.0,31917,49311,0.0,0.33305962719205695
367,528472.5,35331,46829,0.0,0.3320633627337291
368,551247.5,36346,46134,0.0,0.331070078351009
369,551062.5,36006,46266,0.0,0.33007976512974685
370,552527.5,37187,45433,0.0,0.3290924141824573
371,557842.5,32722,48710,0.0,0.32810801664823974
372,512800.0,35443,46777,0.0,0.32712656369269855
373,576597.5,34569,47411,0.0,0.32614804650786416
374,553140.0,34458,47490,0.0,0.3251724563121138
375,545745.0,32605,48787,0.0,0.3241997843500926
376,572375.0,35993,46307,0.0,0.3232300218926354
377,566380.0,34036,47692,0.0,0.3222631602366879
378,591485.0,33362,48262,0.0,0.3212991907052289
379,538780.0,32481,48923,0.0,0.32033810464719237
380,526842.5,37968,44856,0.0,0.31937989343738976
381,566887.5,33582,48098,0.0,0.3184245484764326
382,549932.5,34541,47383,0.0,0.3174720611906553
383,565252.5,33422,48194,0.0,0.31652242303203826
384,555847.5,32716,48696,0.0,0.3155756254781312
385,557392.5,35277,46859,0.0,0.31463166003197657
386,559010.0,33846,47938,0.0,0.3136905182220333
387,549652.5,32331,49013,0.0,0.31275219160210094
388,555060.0,34704,47312,0.0,0.3118166717512436
389,564757.5,34335,47473,0.0,0.31088395027371457
390,553637.5,35615,46557,0.0,0.3099540187988809
