episode,total_reward,cache_hits,cache_misses,epsilon
129,11994.07834665028,116168,4778,0.270754259511994
130,11652.05600689875,116318,4595,0.26804671691687404
131,12335.90098788605,116078,4672,0.2653662497477053
132,11933.652429018646,116091,4959,0.2627125872502282
133,11925.060721152004,116486,4439,0.2600854613777259
134,12143.817952860007,116286,4384,0.2574846067639487
135,11748.568086347444,116362,4630,0.2549097606963092
136,12268.88659627174,115882,4963,0.2523606630893461
137,12143.285847884672,116377,4438,0.24983705645845267
138,12023.563456086942,116320,4619,0.24733868589386815
139,12241.528964774347,116447,4272,0.24486529903492946
140,11873.773718822322,116215,4778,0.24241664604458016
141,12256.182454973485,116557,4251,0.23999247958413436
142,11772.62037585343,116063,4680,0.23759255478829303
143,12111.12918657587,116301,4506,0.2352166292404101
144,11770.107894759036,116101,4468,0.232864462948006
145,12031.535812495646,116604,4455,0.23053581831852593
146,12109.00595322911,116502,4357,0.22823046013534068
147,11699.70284443937,116301,4355,0.22594815553398728
148,12685.768359049907,116371,4319,0.22368867397864742
149,12152.077741131703,116708,4220,0.22145178723886094
150,12241.19168424477,116677,4297,0.21923726936647234
151,12257.287032906523,116475,4357,0.2170448966728076
152,11979.011488979228,116364,4412,0.21487444770607952
153,12527.46777991957,116716,4228,0.21272570322901874
154,11857.098875050146,116543,4172,0.21059844619672854
155,12697.112704403913,116570,4224,0.20849246173476127
156,12296.93241783436,116466,4420,0.20640753711741366
157,12157.268156964163,116845,3930,0.20434346174623952
158,12204.425476951841,116711,4245,0.20230002712877712
159,12022.330344100108,116640,4143,0.20027702685748935
160,12268.922996740437,116842,4015,0.19827425658891445
161,12897.825163926344,116880,4001,0.1962915140230253
162,12703.302502872879,117026,3777,0.19432859888279505
163,12412.838244561393,116811,4104,0.1923853128939671
164,12247.527063938975,116997,3916,0.19046145976502743
165,12615.717037425913,117014,3941,0.18855684516737714
166,12146.153267099058,116762,4125,0.18667127671570335
167,12424.757382134336,116814,4211,0.18480456394854633
168,12459.51834055794,116999,3819,0.18295651830906087
169,12124.961041312432,116717,4079,0.18112695312597027
170,12393.673908712926,116995,3871,0.17931568359471056
171,12516.849075237298,116863,4000,0.17752252675876345
172,12514.988222769025,117332,3578,0.17574730149117582
173,12506.804732733985,117058,3899,0.17398982847626407
174,12416.917377569485,117124,3687,0.17224993019150142
175,12503.9192128373,116891,3907,0.1705274308895864
176,12504.343578082402,117161,3644,0.16882215658069055
177,12303.972535774175,117068,3647,0.16713393501488363
178,12835.885093349594,117200,3634,0.16546259566473479
179,12262.088205153268,116842,3923,0.16380796970808745
180,12616.043509563076,117219,3739,0.16216989001100657
181,12003.264475919479,117086,3816,0.1605481911108965
182,12445.745560001293,117186,3527,0.15894270919978754
183,12642.586857327084,117444,3322,0.15735328210778965
184,12601.239667731505,116919,3858,0.15577974928671176
185,12137.321936569657,117059,3805,0.15422195179384465
186,12472.850906254163,116837,4033,0.1526797322759062
187,12487.924401778939,117319,3705,0.15115293495314713
188,12061.078291001742,116858,3961,0.14964140560361566
189,12868.22893344416,117384,3483,0.1481449915475795
190,12565.864162011942,117137,3550,0.1466635416321037
191,12834.873368234363,117258,3542,0.14519690621578268
192,12895.925811914003,117554,3360,0.14374493715362485
193,12679.976363183543,117232,3552,0.1423074877820886
194,12351.254596723265,117480,3463,0.1408844129042677
195,12853.480693618885,117555,3231,0.13947556877522502
196,12623.102534886311,117370,3503,0.13808081308747278
197,12965.102322072586,117360,3351,0.13670000495659804
198,12482.278873209267,117206,3640,0.13533300490703207
199,12690.95988380232,117633,3120,0.13397967485796175
