episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,72069,23115,5977.499999999925
1,0.0,64742,30442,5370.666666666613
2,0.0,68148,27036,5654.249999999949
3,0.0,59750,35434,4957.666666666642
4,0.0,53857,41327,4469.833333333351
5,0.0,50047,45137,4152.833333333378
6,0.0,56085,39099,4653.000000000014
7,0.0,55752,39432,4625.750000000014
8,0.0,60544,34640,5023.5833333333085
9,0.0,70161,25023,5819.499999999951
10,0.0,61845,33339,5130.000000000005
11,0.0,63261,31923,5246.999999999961
12,0.0,61672,33512,5115.583333333301
13,0.0,59699,35485,4951.666666666661
14,0.0,62761,32423,5206.083333333297
15,0.0,61805,33379,5126.666666666668
16,0.0,64491,30693,5350.999999999975
17,0.0,59935,35249,4972.8333333333
18,0.0,63685,31499,5283.333333333324
19,0.0,64362,30822,5338.499999999968
20,0.0,60088,35080,4985.333333333319
21,0.0,64116,31068,5318.499999999978
22,0.0,60655,34529,5032.333333333324
23,0.0,62684,32484,5199.916666666646
24,0.0,63820,31332,5292.583333333311
25,0.0,60542,34642,5022.666666666657
26,0.0,61999,33185,5143.833333333313
27,0.0,56220,38964,4665.749999999996
28,0.0,58863,36321,4883.249999999982
29,0.0,60799,34385,5043.833333333321
30,0.0,59704,35480,4954.583333333323
31,0.0,62102,33082,5151.916666666647
32,0.0,65334,29850,5418.249999999972
33,0.0,64639,30545,5362.583333333271
34,0.0,68619,26565,5692.249999999967
35,0.0,65366,29818,5423.166666666626
36,0.0,54986,40198,4563.416666666675
37,0.0,63474,31710,5264.749999999998
38,0.0,61142,34042,5073.16666666664
39,0.0,59358,35826,4923.499999999997
40,0.0,64699,30485,5368.333333333312
41,0.0,65208,29960,5408.499999999979
42,0.0,66390,28794,5506.749999999951
43,0.0,61738,33446,5122.333333333309
44,0.0,63770,31414,5289.166666666632
45,0.0,60367,34801,5008.8333333333185
46,0.0,58510,36674,4851.833333333329
47,0.0,61556,33612,5108.41666666665
48,0.0,62209,32959,5160.833333333313
49,0.0,65473,29711,5431.8333333332685
50,0.0,60662,34522,5031.666666666648
51,0.0,59836,35348,4964.583333333301
52,0.0,66100,29084,5483.583333333319
53,0.0,60366,34818,5007.499999999978
54,0.0,55792,39392,4629.5833333333285
55,0.0,63694,31490,5283.333333333284
56,0.0,59174,36010,4910.41666666665
57,0.0,61263,33921,5081.999999999988
58,0.0,65895,29289,5465.249999999981
59,0.0,65073,30111,5398.499999999974
60,0.0,67081,28103,5562.333333333305
61,0.0,58574,36610,4860.4166666666615
62,0.0,62230,32954,5162.083333333286
63,0.0,53394,41790,4430.750000000025
64,0.0,56355,38829,4675.74999999999
65,0.0,58698,36486,4868.499999999993
66,0.0,63817,31367,5296.083333333281
67,0.0,61510,33674,5102.583333333309
68,0.0,62206,32978,5160.083333333306
69,0.0,56872,38312,4716.083333333326
70,0.0,62194,32990,5159.33333333329
71,0.0,62870,32314,5215.666666666628
72,0.0,62030,33154,5145.666666666655
73,0.0,62930,32254,5219.666666666645
74,0.0,60634,34550,5030.333333333315
75,0.0,59255,35929,4917.166666666652
76,0.0,55706,39462,4622.416666666675
77,0.0,60587,34597,5024.666666666661
78,0.0,63374,31810,5256.91666666663
79,0.0,54229,40955,4501.333333333333
80,0.0,66460,28724,5511.0833333332885
81,0.0,59819,35365,4964.41666666665
82,0.0,67720,27464,5618.083333333295
83,0.0,61895,33289,5135.166666666638
84,0.0,61491,33693,5102.749999999958
85,0.0,56224,38960,4665.583333333341
86,0.0,63918,31266,5301.749999999964
87,0.0,62041,33143,5147.583333333341
88,0.0,65079,30105,5398.49999999997
89,0.0,64962,30222,5387.999999999973
90,0.0,62167,33017,5157.333333333304
91,0.0,61792,33392,5126.833333333319
92,0.0,62901,32283,5216.749999999956
93,0.0,62391,32793,5175.499999999974
94,0.0,64394,30790,5340.916666666648
95,0.0,62380,32804,5175.333333333296
96,0.0,62538,32646,5188.999999999958
97,0.0,64796,30388,5374.666666666623
98,0.0,60858,34326,5047.999999999973
99,0.0,58874,36310,4883.916666666669
