episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,79791,14705,6599.249999999766
1,0.0,79395,15105,6566.249999999835
2,0.0,79291,15209,6557.583333333147
3,0.0,79352,15148,6562.666666666463
4,0.0,80117,14375,6626.4166666664605
5,0.0,79370,15130,6564.166666666481
6,0.0,80296,14196,6641.333333333134
7,0.0,79178,15326,6548.166666666502
8,0.0,79891,14605,6607.583333333122
9,0.0,76065,18467,6288.7499999998245
10,0.0,81764,12712,6763.666666666436
11,0.0,79972,14520,6614.333333333131
12,0.0,76226,18306,6302.1666666665
13,0.0,76316,18212,6309.666666666504
14,0.0,81895,12581,6774.583333333116
15,0.0,84030,10422,6952.49999999975
16,0.0,79905,14591,6608.749999999793
17,0.0,79943,14553,6611.916666666455
18,0.0,81769,12707,6764.08333333312
19,0.0,79043,15461,6536.916666666494
20,0.0,75908,18624,6275.666666666503
21,0.0,77152,17368,6379.333333333182
22,0.0,77129,17391,6377.416666666495
23,0.0,79112,15372,6542.666666666488
24,0.0,83572,10888,6914.333333333059
25,0.0,76837,17687,6353.083333333154
26,0.0,79234,15250,6552.833333333149
27,0.0,79687,14805,6590.583333333132
28,0.0,80909,13575,6692.416666666442
29,0.0,77816,16700,6434.66666666648
30,0.0,76277,18251,6306.41666666652
31,0.0,78881,15611,6523.416666666484
32,0.0,80056,14432,6621.333333333137
33,0.0,80518,13974,6659.833333333116
34,0.0,80282,14206,6640.166666666461
35,0.0,81251,13233,6720.916666666418
36,0.0,78751,15757,6512.58333333315
37,0.0,80010,14482,6617.4999999998145
38,0.0,77417,17099,6401.416666666498
39,0.0,81337,13143,6728.083333333151
40,0.0,81537,12939,6744.749999999796
41,0.0,78707,15797,6508.916666666494
42,0.0,77125,17399,6377.083333333157
43,0.0,79526,14974,6577.166666666479
44,0.0,76355,18161,6312.916666666486
45,0.0,79457,15043,6571.416666666477
46,0.0,79061,15439,6538.416666666452
47,0.0,82941,11523,6861.749999999758
48,0.0,78075,16437,6456.249999999812
49,0.0,76187,18321,6298.916666666521
50,0.0,82796,11668,6849.666666666451
51,0.0,76180,18332,6298.333333333172
52,0.0,80879,13605,6689.9166666664505
53,0.0,75921,18611,6276.749999999839
54,0.0,78423,16085,6485.249999999819
55,0.0,80001,14491,6616.749999999806
56,0.0,81506,12962,6742.166666666451
57,0.0,84412,10036,6984.333333333084
58,0.0,81411,13069,6734.249999999781
59,0.0,77557,16943,6413.083333333144
60,0.0,78550,15958,6495.83333333314
61,0.0,78824,15676,6518.666666666466
62,0.0,80482,14006,6656.8333333331075
63,0.0,81306,13174,6725.4999999997935
64,0.0,81702,12774,6758.499999999806
65,0.0,80116,14372,6626.333333333113
66,0.0,79562,14934,6580.166666666507
67,0.0,82109,12359,6792.416666666442
68,0.0,80074,14422,6622.833333333131
69,0.0,76426,18102,6318.833333333164
70,0.0,82300,12172,6808.333333333088
71,0.0,82483,11989,6823.583333333095
72,0.0,80243,14249,6636.916666666461
73,0.0,84150,10302,6962.499999999751
74,0.0,76706,17818,6342.166666666488
75,0.0,75978,18554,6281.499999999854
76,0.0,81642,12834,6753.499999999795
77,0.0,80916,13552,6692.999999999795
78,0.0,78295,16213,6474.583333333159
79,0.0,79759,14737,6596.583333333156
80,0.0,85987,8445,7115.583333333082
81,0.0,78375,16133,6481.249999999823
82,0.0,75911,18621,6275.916666666506
83,0.0,77720,16796,6426.666666666495
84,0.0,78683,15821,6506.916666666501
85,0.0,78067,16449,6455.583333333118
86,0.0,84946,9498,7028.833333333073
87,0.0,78801,15687,6516.749999999786
88,0.0,77974,16538,6447.833333333157
89,0.0,78459,16049,6488.249999999814
90,0.0,77945,16567,6445.416666666508
91,0.0,78977,15523,6531.416666666469
92,0.0,82337,12135,6811.416666666444
93,0.0,76683,17841,6340.249999999801
94,0.0,77017,17503,6368.083333333178
95,0.0,77349,17167,6395.749999999827
96,0.0,77872,16628,6439.333333333158
97,0.0,76560,17968,6329.9999999998245
98,0.0,81578,12902,6748.166666666441
99,0.0,80067,14425,6622.249999999812
