episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,37909,57763,3122.562500000038
1,0.0,38678,56994,3179.0833333333794
2,0.0,38754,56918,3181.958333333376
3,0.0,37679,57997,3100.5000000000405
4,0.0,35268,60432,2895.562500000031
5,0.0,38177,57471,3141.416666666707
6,0.0,39230,56438,3223.000000000048
7,0.0,40916,54652,3368.0208333333962
8,0.0,36014,59678,2960.1875000000246
9,0.0,39078,56582,3208.9583333333712
10,0.0,36261,59367,2981.5416666666956
11,0.0,40577,55067,3341.1458333333894
12,0.0,42796,52832,3520.750000000061
13,0.0,35176,60520,2897.5000000000214
14,0.0,39018,56646,3211.5833333333844
15,0.0,35401,60295,2907.4375000000273
16,0.0,38820,56844,3195.270833333378
17,0.0,37873,57707,3114.583333333377
18,0.0,39405,56127,3240.5208333333812
19,0.0,38009,57647,3126.625000000042
20,0.0,42457,53175,3493.2083333333962
21,0.0,37132,58536,3050.8541666666983
22,0.0,37007,58677,3047.062500000029
23,0.0,39302,56350,3242.375000000047
24,0.0,38582,57090,3168.5625000000377
25,0.0,36814,58866,3023.8958333333653
26,0.0,34717,60979,2856.4375000000173
27,0.0,32192,63536,2641.541666666679
28,0.0,40190,55466,3308.2708333333894
29,0.0,40255,55397,3308.541666666726
30,0.0,36333,59315,2987.6875000000327
31,0.0,34514,61154,2830.458333333352
32,0.0,38655,57013,3179.812500000043
33,0.0,35277,60411,2899.1666666666965
34,0.0,35885,59739,2946.854166666692
35,0.0,36389,59307,2985.3750000000377
36,0.0,34033,61679,2796.812500000021
37,0.0,41778,53862,3440.000000000063
38,0.0,36631,58997,3010.125000000034
39,0.0,38347,57325,3150.250000000039
40,0.0,36619,59069,3007.395833333362
41,0.0,39732,55904,3270.2916666667147
42,0.0,35028,60676,2874.458333333352
43,0.0,36319,59357,2982.7916666666974
44,0.0,36746,58942,3011.7500000000387
45,0.0,42692,52940,3507.437500000059
46,0.0,39655,55997,3263.062500000044
47,0.0,40532,55112,3339.6458333333812
48,0.0,40325,55307,3326.500000000049
49,0.0,31444,64288,2579.33333333334
50,0.0,35295,60401,2903.166666666689
51,0.0,37086,58602,3043.8750000000355
52,0.0,37704,57968,3103.562500000038
53,0.0,38512,57160,3168.083333333381
54,0.0,41943,53685,3451.7291666667215
55,0.0,38042,57626,3131.604166666703
56,0.0,40258,55390,3313.9166666667143
57,0.0,34468,61196,2828.2083333333476
58,0.0,36880,58804,3032.666666666698
59,0.0,35896,59800,2953.7500000000223
60,0.0,36854,58766,3029.7083333333608
61,0.0,39625,56011,3261.2291666667124
62,0.0,39873,55767,3290.1250000000564
63,0.0,41049,54595,3387.979166666722
64,0.0,32120,63608,2635.750000000008
65,0.0,40100,55556,3306.5833333333803
66,0.0,38897,56767,3196.0833333333762
67,0.0,40952,54696,3366.5625000000605
68,0.0,37324,58360,3067.5000000000373
69,0.0,43063,52569,3544.854166666737
70,0.0,41046,54594,3375.6041666667115
71,0.0,38393,57275,3158.5000000000396
72,0.0,37542,58134,3089.208333333376
73,0.0,40718,54934,3352.583333333382
74,0.0,40057,55595,3294.3125000000446
75,0.0,36131,59557,2972.479166666697
76,0.0,38901,56639,3202.979166666697
77,0.0,37713,57887,3100.7500000000455
78,0.0,41745,53771,3432.979166666728
79,0.0,39217,56443,3222.31250000005
80,0.0,40493,55155,3336.4375000000537
81,0.0,38988,56676,3202.895833333382
82,0.0,36064,59632,2963.166666666697
83,0.0,37861,57815,3108.7083333333735
84,0.0,37555,58129,3082.8750000000423
85,0.0,36173,59471,2974.8333333333653
86,0.0,37968,57684,3122.4791666667
87,0.0,39956,55680,3287.937500000043
88,0.0,38188,57424,3139.8541666667106
89,0.0,34743,60965,2852.6875000000177
90,0.0,39625,55995,3264.1666666667147
91,0.0,36047,59565,2963.3750000000296
92,0.0,34613,61091,2842.2708333333526
93,0.0,33182,62538,2721.1458333333476
94,0.0,42942,52686,3533.7500000000673
95,0.0,41860,53708,3442.0416666667215
96,0.0,36714,58950,3017.937500000033
97,0.0,37413,58267,3073.6875000000364
98,0.0,34531,61177,2833.64583333335
99,0.0,35757,59935,2938.270833333365
