episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
0,7291.291811607319,109036,11826,13036,11826,96000,0,37.99670998241948,0.985
1,7538.063207585972,109421,11256,13421,11256,96000,0,38.15725746492235,0.970225
2,7247.29236042437,109249,11626,13249,11626,96000,0,38.139529666022206,0.955671625
3,7949.426161195744,109969,10819,13969,10819,96000,0,38.24134015324273,0.941336550625
4,7864.45252276648,109768,11029,13768,11029,96000,0,38.03629173390677,0.927216502365625
5,7576.321836424413,109498,11261,13498,11261,96000,0,38.24008536649344,0.9133082548301407
6,7831.412511943043,110038,10973,14038,10973,96000,0,38.2230801151368,0.8996086310076885
7,7943.937312111099,110292,10571,14292,10571,96000,0,38.04618776535391,0.8861145015425732
8,7419.339705997903,109906,10996,13906,10996,96000,0,38.15379694363093,0.8728227840194346
9,7975.71479545526,110248,10623,14248,10623,96000,0,38.255220106054296,0.8597304422591431
10,7687.034033618374,110063,10705,14063,10705,96000,0,37.982321501636996,0.8468344856252559
11,7731.63556267442,110471,10277,14471,10277,96000,0,37.982689121434156,0.834131968340877
12,8005.640339053364,110396,10430,14396,10430,96000,0,38.34386198566212,0.8216199888157638
13,7766.643597291589,110594,10252,14594,10252,96000,0,38.0593130090719,0.8092956889835273
14,8077.626055202755,110954,9929,14954,9929,96000,0,38.195447768977175,0.7971562536487744
15,8299.269670562024,110871,9930,14871,9930,96000,0,38.2999764371029,0.7851989098440427
16,7715.805981117521,110446,10315,14446,10315,96000,0,38.18014359329826,0.773420926196382
17,8470.287853273147,111036,9785,15036,9785,96000,0,38.20028555053308,0.7618196123034363
18,8590.074903683271,111167,9608,15167,9608,96000,0,38.437049219719675,0.7503923181188847
19,8525.719873599935,111571,9220,15571,9220,96000,0,38.44617906485159,0.7391364333471014
20,8463.871849511052,111757,9337,15757,9337,96000,0,38.26532040812679,0.7280493868468949
21,8171.714603642233,111358,9458,15358,9458,96000,0,38.276787750031666,0.7171286460441915
22,8414.766812868073,111517,9366,15517,9366,96000,0,38.3834813434162,0.7063717163535286
23,8100.668383606713,111150,9666,15150,9666,96000,0,38.38526429330512,0.6957761406082257
24,8937.524377281063,111845,9039,15845,9039,96000,0,38.56132275080688,0.6853394984991023
25,8447.36370222397,111728,9065,15728,9065,96000,0,38.328196533759446,0.6750594060216157
26,8850.773100241558,111883,8922,15883,8922,96000,0,38.65697215667646,0.6649335149312915
27,9374.703851972477,112694,8083,16694,8083,96000,0,38.47254954800341,0.6549595122073221
28,8792.998775373273,112230,8494,16230,8494,96000,0,38.50939647899969,0.6451351195242122
29,8509.21130033895,112145,8818,16145,8818,96000,0,38.38914186970341,0.635458092731349
30,8773.22954001707,112331,8554,16331,8554,96000,0,38.411207368599634,0.6259262213403788
31,9006.820037669564,112373,8275,16373,8275,96000,0,38.75578948391847,0.6165373280202731
32,8677.715918219876,112512,8458,16512,8458,96000,0,38.37780527902073,0.607289268099969
33,8757.383186592511,112704,8094,16704,8094,96000,0,38.224479536532925,0.5981799290784694
34,8712.277371516544,112564,8405,16564,8405,96000,0,38.11577321989962,0.5892072301422924
35,8660.126168415585,112513,8445,16513,8445,96000,0,38.27563319098683,0.580369121690158
36,8917.87036195679,112663,8072,16663,8072,96000,0,38.46225565567006,0.5716635848648056
37,9228.675274838142,113030,7891,17030,7891,96000,0,38.47908345155857,0.5630886310918335
38,8976.383182753183,112964,7964,16964,7964,96000,0,38.52536204794375,0.554642301625456
39,8852.329541734558,112986,7838,16986,7838,96000,0,38.308644847784464,0.5463226671010741
40,9591.339239187293,113076,7778,17076,7778,96000,0,38.56809088575168,0.538127827094558
41,9163.427310542756,113400,7395,17400,7395,96000,0,38.43772424969854,0.5300559096881396
42,9206.649143328972,113167,7661,17167,7661,96000,0,38.43224608245501,0.5221050710428176
43,9161.110461967764,113188,7660,17188,7660,96000,0,38.41993695902432,0.5142734949771753
44,9194.723289262363,113487,7276,17487,7276,96000,0,38.51090677464563,0.5065593925525177
45,9991.96620938951,113924,6990,17924,6990,96000,0,38.66047266043913,0.4989610016642299
46,9196.165173288648,113626,7132,17626,7132,96000,0,38.6311224779548,0.49147658663926647
47,9287.755294230186,113662,7186,17662,7186,96000,0,38.32904632237892,0.48410443783967744
48,9832.603454822522,113726,7133,17726,7133,96000,0,38.628833844213354,0.47684287127208225
49,9708.644948452767,113906,6948,17906,6948,96000,0,38.52624325151048,0.469690228203001
50,9474.666270722168,113712,7197,17712,7197,96000,0,38.55075581919482,0.462644874779956
51,9474.876483968052,113551,7270,17551,7270,96000,0,38.42026984989699,0.4557052016582566
52,9423.439244001329,113874,7022,17874,7022,96000,0,38.60512278861404,0.4488696236333828
53,9978.589796163353,114184,6581,18184,6581,96000,0,38.829546058889015,0.44213657927888206
54,9678.290959492306,113987,6830,17987,6830,96000,0,38.478332237103054,0.43550453058969885
55,9790.912086721677,114244,6889,18244,6889,96000,0,38.578768224443365,0.42897196263085335
56,9385.319952585423,113541,7188,17541,7188,96000,0,38.64436148655585,0.42253738319139056
57,9646.771430736804,114017,6774,18017,6774,96000,0,38.569613406325644,0.4161993224435197
58,9944.858749424495,114262,6709,18262,6709,96000,0,38.68201666408896,0.4099563326068669
59,9237.383396687366,114005,6779,18005,6779,96000,0,38.47304646244265,0.4038069876177639
60,9806.793950156953,114430,6572,18430,6572,96000,0,38.70632844099884,0.39774988280349743
61,9531.445470464449,113804,7046,17804,7046,96000,0,38.57798757838667,0.391783634561445
62,10338.371371019644,114440,6260,18440,6260,96000,0,38.857290812441704,0.3859068800430233
63,9498.862031271816,114151,6756,18151,6756,96000,0,38.5198745054592,0.380118276842378
