episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,39508,55676,3285.3333333333717
1,0.0,33285,61867,2766.7500000000205
2,0.0,37143,58041,3089.000000000043
3,0.0,33722,61462,2803.416666666678
4,0.0,33766,61418,2807.3333333333508
5,0.0,39725,55459,3300.666666666695
6,0.0,35723,59461,2970.66666666669
7,0.0,41367,53817,3438.7500000000387
8,0.0,41154,54030,3419.500000000043
9,0.0,31663,63521,2630.8333333333458
10,0.0,37368,57816,3105.250000000035
11,0.0,35842,59342,2980.083333333367
12,0.0,31742,63442,2639.16666666668
13,0.0,34133,61051,2837.6666666666924
14,0.0,33089,62095,2752.6666666666756
15,0.0,37763,57421,3139.1666666666897
16,0.0,33903,61281,2817.5000000000177
17,0.0,35134,60050,2920.0833333333558
18,0.0,38327,56857,3185.416666666705
19,0.0,34021,61163,2828.3333333333553
20,0.0,37468,57716,3114.5833333333626
21,0.0,35098,60086,2915.083333333352
22,0.0,34640,60528,2879.9166666666843
23,0.0,33887,61297,2816.4166666666933
24,0.0,34652,60532,2880.1666666666806
25,0.0,33719,61465,2803.66666666669
26,0.0,36107,59077,3000.416666666703
27,0.0,30582,64602,2543.5000000000077
28,0.0,34985,60199,2908.916666666683
29,0.0,34042,61142,2829.3333333333408
30,0.0,37986,57198,3158.750000000029
31,0.0,37790,57394,3142.9166666667
32,0.0,36127,59041,3002.8333333333762
33,0.0,32287,62897,2684.083333333347
34,0.0,40965,54219,3404.500000000038
35,0.0,37325,57859,3102.6666666667024
36,0.0,33191,61993,2759.9166666666843
37,0.0,37946,57238,3154.4166666666974
38,0.0,34270,60914,2849.583333333351
39,0.0,36061,59123,2995.3333333333485
40,0.0,33322,61862,2768.8333333333435
41,0.0,34955,60229,2905.4166666666924
42,0.0,36134,59050,3004.4166666666933
43,0.0,39005,56179,3243.166666666694
44,0.0,37061,58107,3081.4166666666915
45,0.0,35305,59879,2935.833333333354
46,0.0,37692,57492,3132.500000000029
47,0.0,37073,58111,3080.91666666669
48,0.0,35645,59539,2960.6666666667
49,0.0,34636,60548,2878.58333333336
50,0.0,34234,60950,2845.083333333347
51,0.0,35962,59222,2989.333333333363
52,0.0,36837,58347,3061.7500000000337
53,0.0,38403,56765,3191.750000000034
54,0.0,34447,60737,2866.08333333336
55,0.0,35858,59326,2981.6666666666947
56,0.0,35076,60108,2916.0000000000305
57,0.0,37909,57275,3151.833333333365
58,0.0,34723,60461,2886.5833333333653
59,0.0,34898,60286,2902.1666666666874
60,0.0,35637,59547,2963.500000000028
61,0.0,35759,59425,2973.1666666666874
62,0.0,31800,63384,2644.5000000000164
63,0.0,39291,55893,3266.250000000025
64,0.0,32682,62502,2716.5000000000223
65,0.0,33846,61338,2813.5000000000186
66,0.0,33870,61314,2816.2500000000127
67,0.0,32294,62890,2684.9166666666833
68,0.0,34283,60901,2849.4166666666974
69,0.0,36721,58463,3051.5833333333617
70,0.0,36121,59063,3003.3333333333617
71,0.0,34995,60173,2909.500000000026
72,0.0,31756,63428,2640.083333333337
73,0.0,37980,57204,3155.5000000000123
74,0.0,34400,60784,2860.4166666666924
75,0.0,35654,59530,2965.666666666695
76,0.0,35201,59983,2925.4166666666965
77,0.0,36150,59034,3003.7500000000277
78,0.0,38239,56945,3177.3333333333617
79,0.0,37793,57391,3143.166666666693
80,0.0,33128,62056,2753.9166666666947
81,0.0,36257,58927,3013.166666666694
82,0.0,32412,62756,2695.5000000000196
83,0.0,32237,62947,2680.1666666666765
84,0.0,38412,56772,3193.250000000034
85,0.0,37956,57228,3156.0000000000346
86,0.0,36667,58517,3048.3333333333576
87,0.0,35419,59765,2945.083333333356
88,0.0,36250,58934,3011.333333333362
89,0.0,35382,59802,2941.2500000000277
90,0.0,38381,56803,3188.4166666666965
91,0.0,35217,59967,2927.750000000021
92,0.0,38182,57002,3172.5833333333508
93,0.0,35151,60033,2923.5000000000273
94,0.0,37716,57452,3135.000000000034
95,0.0,33385,61767,2777.5833333333508
96,0.0,33501,61683,2784.250000000015
97,0.0,31991,63193,2659.4166666666797
98,0.0,32439,62745,2697.2500000000123
99,0.0,35573,59611,2955.166666666692
