episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,2958.865723253862,99879,20870,11885,12864,87994,8006,0.99
1,-595.6994721425059,92693,28159,11250,13602,81443,14557,0.9801
2,3201.937045323064,100092,20585,11748,12929,88344,7656,0.9702989999999999
3,466.6424930524255,94626,26239,11369,13496,83257,12743,0.96059601
4,4459.888021070278,102327,18738,12115,12950,90212,5788,0.9509900498999999
5,4558.701625842675,102353,18428,12385,12396,89968,6032,0.9414801494009999
6,4591.803763052982,102198,18587,12347,12438,89851,6149,0.9320653479069899
7,2246.7784815300606,98721,22106,12099,12728,86622,9378,0.92274469442792
8,1103.0803945555797,95800,25048,11722,13126,84078,11922,0.9135172474836407
9,5243.095427174452,103700,17283,12479,12504,91221,4779,0.9043820750088043
10,4559.878619817995,102369,18599,12853,12115,89516,6484,0.8953382542587163
11,1887.4228968882312,97260,23573,12239,12594,85021,10979,0.8863848717161291
12,-4828.825973916806,84609,36155,10602,14162,74007,21993,0.8775210229989678
13,3369.919933989803,100221,20662,12263,12620,87958,8042,0.8687458127689781
14,2521.4695364263175,98892,21898,12399,12391,86493,9507,0.8600583546412883
15,1578.099731405823,96814,23941,11938,12817,84876,11124,0.8514577710948754
16,4874.12103490761,103019,17822,12062,12779,90957,5043,0.8429431933839266
17,3515.1400426726236,100695,20238,12581,12352,88114,7886,0.8345137614500874
18,1698.9976365952375,97047,23779,12266,12560,84781,11219,0.8261686238355865
19,1139.2634173312174,95734,25109,11674,13169,84060,11940,0.8179069375972307
20,1485.3328725761073,96570,24227,11624,13173,84946,11054,0.8097278682212583
21,2706.569469856176,99340,21608,11562,13386,87778,8222,0.8016305895390458
22,1532.7622230556187,97202,23615,11400,13417,85802,10198,0.7936142836436553
23,4161.623864897533,101504,19254,11677,13081,89827,6173,0.7856781408072188
24,-595.174404266483,92990,27819,11657,13152,81333,14667,0.7778213593991465
25,4408.060150141279,102350,18348,12185,12513,90165,5835,0.7700431458051551
26,-812.6700082204351,92296,28487,11295,13488,81001,14999,0.7623427143471035
27,4448.888156995124,102288,18518,13061,11745,89227,6773,0.7547192872036325
28,1740.8953436315883,97036,23704,11981,12759,85055,10945,0.7471720943315961
29,3053.0346204520797,99687,21226,12237,12676,87450,8550,0.7397003733882802
30,3921.6719847280356,101287,19526,13161,11652,88126,7874,0.7323033696543974
31,4741.227833519086,102902,17952,12559,12295,90343,5657,0.7249803359578534
32,2148.2163051053067,97663,23154,11770,13047,85893,10107,0.7177305325982748
33,2976.504831895904,99341,21494,11509,13326,87832,8168,0.7105532272722921
34,2325.8608417703385,97730,22996,11454,13272,86276,9724,0.7034476949995692
35,2293.9343330372903,98539,22351,11364,13526,87175,8825,0.6964132180495735
36,5390.2878987581435,104107,16700,12346,12461,91761,4239,0.6894490858690777
37,4629.999939764626,102383,18346,13129,11600,89254,6746,0.682554595010387
38,3466.60785818591,100400,20394,12375,12419,88025,7975,0.6757290490602831
39,3895.8938967902545,101483,19322,11854,12951,89629,6371,0.6689717585696803
40,3790.59805584023,101277,19556,12825,12008,88452,7548,0.6622820409839835
41,4133.842474482699,101898,19077,13311,11664,88587,7413,0.6556592205741436
42,3980.7868391366533,101429,19420,13399,11450,88030,7970,0.6491026283684022
43,2051.32872361936,97284,23484,12072,12696,85212,10788,0.6426116020847181
44,3666.2417098983847,99879,20951,12297,12533,87582,8418,0.6361854860638709
45,4032.7387087268075,101406,19537,12480,12463,88926,7074,0.6298236312032323
46,5460.750702396867,104128,16762,13756,11134,90372,5628,0.6235253948912
47,2523.3589657127177,98312,22499,13397,11414,84915,11085,0.617290140942288
48,2996.8188451324168,99317,21515,12377,12455,86940,9060,0.6111172395328651
49,3421.091275791904,99832,21034,11925,12941,87907,8093,0.6050060671375365
50,2742.77357657336,99019,21835,11933,12921,87086,8914,0.5989560064661611
51,1950.2763956872607,97598,23133,11590,13141,86008,9992,0.5929664464014994
52,155.01839178169647,94285,26632,11322,13595,82963,13037,0.5870367819374844
53,2003.9885269590611,97206,23802,10930,14078,86276,9724,0.5811664141181095
54,1634.825892052702,96950,23703,10791,13862,86159,9841,0.5753547499769285
55,1329.7814423815944,96313,24411,10883,13841,85430,10570,0.5696012024771592
56,1955.0089287800479,97174,23602,10786,13990,86388,9612,0.5639051904523876
57,4115.59525531562,101159,19622,13332,11449,87827,8173,0.5582661385478638
58,2999.1315388693874,99146,21791,12951,11986,86195,9805,0.5526834771623851
59,1582.8691682806968,96865,23999,12660,12204,84205,11795,0.5471566423907612
60,1639.082423945891,96589,24134,11447,13276,85142,10858,0.5416850759668536
61,3701.6570949082097,101225,19601,12817,12009,88408,7592,0.536268225207185
62,1894.6550795869257,97281,23533,12231,12583,85050,10950,0.5309055429551132
63,1019.8660759488072,95947,24830,10447,14330,85500,10500,0.525596487525562
64,3766.5092343249876,101240,19619,12688,12171,88552,7448,0.5203405226503064
65,760.2686170679873,95484,25434,11929,12989,83555,12445,0.5151371174238033
66,2646.6310910560683,98474,22338,12552,12260,85922,10078,0.5099857462495653
67,287.0684281892583,94152,26768,12458,12462,81694,14306,0.5048858887870696
68,2596.208589119827,99105,21901,11917,13089,87188,8812,0.4998370298991989
69,1362.9183283470788,96939,23784,11269,13454,85670,10330,0.49483865960020695
70,4197.043265531574,101559,19286,12609,12236,88950,7050,0.4898902730042049
71,4313.28265950083,102393,18667,11625,13435,90768,5232,0.48499137027416284
72,5182.530500653373,103625,17224,12322,12527,91303,4697,0.4801414565714212
73,1800.1857134769652,97451,23477,11948,12980,85503,10497,0.475340042005707
74,1667.2669577664567,97245,23644,12076,12813,85169,10831,0.47058664158564995
75,4474.118745181004,102319,18569,12761,12127,89558,6442,0.4658807751697934
76,3441.1799315236076,99727,21258,15011,9974,84716,11284,0.4612219674180955
77,1244.9090226269527,95918,25017,14074,10861,81844,14156,0.45660974774391455
78,912.1473828267673,95688,25228,13254,11662,82434,13566,0.4520436502664754
79,3746.880592017152,100777,20053,10790,14040,89987,6013,0.44752321376381066
80,-2797.4214799040165,88695,32113,10448,14360,78247,17753,0.44304798162617254
81,1588.8444702700835,97188,23808,11440,13556,85748,10252,0.4386175018099108
82,3067.4658278492793,99881,20868,12586,12163,87295,8705,0.4342313267918117
83,2176.739140717729,97713,23088,14490,10311,83223,12777,0.4298890135238936
84,2723.1552431067553,99092,21702,10964,13830,88128,7872,0.42559012338865465
85,1960.6024194837296,97952,22872,11565,13259,86387,9613,0.4213342221547681
86,4173.232380703455,101242,19440,12004,12678,89238,6762,0.41712087993322045
87,4301.46652961776,101952,19182,15830,9304,86122,9878,0.41294967113388825
88,6762.002024610821,106409,14443,12781,12071,93628,2372,0.40882017442254937
