episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,41377,53807,3427.0833333333658
1,0.0,48084,47100,3986.25000000002
2,0.0,40588,54596,3362.3333333333603
3,0.0,44063,51121,3653.166666666689
4,0.0,40488,54696,3355.7500000000114
5,0.0,39503,55681,3271.666666666683
6,0.0,41343,53841,3426.7500000000155
7,0.0,44001,51183,3647.250000000016
8,0.0,46491,48693,3856.5000000000214
9,0.0,52505,42679,4352.666666666679
10,0.0,31945,63239,2642.333333333343
11,0.0,37719,57449,3124.500000000023
12,0.0,45029,50155,3734.16666666668
13,0.0,43231,51953,3583.333333333351
14,0.0,43890,51294,3637.0000000000246
15,0.0,53951,41233,4472.9166666666615
16,0.0,44852,50332,3719.416666666703
17,0.0,41938,53246,3476.3333333333585
18,0.0,41590,53578,3448.3333333333603
19,0.0,38079,57073,3156.7500000000055
20,0.0,41951,53233,3475.1666666666933
21,0.0,43082,52102,3572.1666666666756
22,0.0,51223,43961,4245.583333333346
23,0.0,46465,48719,3852.0833333333603
24,0.0,47367,47801,3927.500000000013
25,0.0,44732,50436,3706.6666666666965
26,0.0,47070,48114,3903.0000000000264
27,0.0,40243,54941,3336.583333333347
28,0.0,46305,48879,3839.500000000024
29,0.0,43462,51722,3604.083333333344
30,0.0,48033,47151,3983.000000000035
31,0.0,39094,56090,3238.833333333353
32,0.0,40253,54931,3336.9166666666997
33,0.0,47333,47851,3922.41666666669
34,0.0,43926,51258,3640.0000000000123
35,0.0,46400,48784,3849.1666666666997
36,0.0,41896,53288,3470.5833333333676
37,0.0,41271,53913,3419.750000000029
38,0.0,40362,54822,3343.2500000000255
39,0.0,42351,52833,3510.500000000017
40,0.0,43648,51536,3617.3333333333467
41,0.0,42626,52558,3532.166666666686
42,0.0,44400,50784,3680.500000000008
43,0.0,45312,49872,3757.7500000000173
44,0.0,48471,46713,4019.7500000000387
45,0.0,43041,52143,3566.5000000000277
46,0.0,44488,50696,3686.083333333358
47,0.0,47301,47883,3922.7500000000277
48,0.0,47208,47976,3913.2500000000105
49,0.0,38615,56569,3200.6666666666897
50,0.0,43702,51482,3621.833333333354
51,0.0,39091,56093,3238.0833333333494
52,0.0,39925,55259,3309.5833333333594
53,0.0,37488,57696,3106.0000000000223
54,0.0,39645,55539,3286.250000000019
55,0.0,38327,56857,3175.166666666693
56,0.0,45779,49405,3795.916666666692
57,0.0,46276,48908,3837.333333333345
58,0.0,45677,49507,3786.6666666666865
59,0.0,42965,52219,3560.666666666689
60,0.0,37440,57744,3102.00000000002
61,0.0,43551,51633,3613.250000000011
62,0.0,40805,54379,3381.1666666666983
63,0.0,39218,55966,3253.166666666685
64,0.0,40347,54821,3346.2500000000196
65,0.0,41615,53569,3448.1666666667
66,0.0,41475,53709,3435.5000000000186
67,0.0,42849,52335,3551.0000000000214
68,0.0,41549,53635,3442.9166666666815
69,0.0,44388,50796,3676.500000000022
70,0.0,45545,49639,3777.166666666691
71,0.0,41004,54180,3398.5000000000073
72,0.0,47471,47713,3934.166666666685
73,0.0,38508,56676,3193.00000000001
74,0.0,42361,52823,3512.3333333333617
75,0.0,45624,49560,3779.750000000025
76,0.0,40615,54569,3364.333333333349
77,0.0,49959,45225,4142.000000000018
78,0.0,40053,55131,3321.0000000000286
79,0.0,39511,55673,3274.583333333355
80,0.0,40916,54268,3394.4166666666947
81,0.0,37396,57788,3103.333333333353
82,0.0,37553,57631,3110.666666666688
83,0.0,40620,54564,3367.5000000000227
84,0.0,42350,52834,3510.416666666682
85,0.0,40204,54980,3332.583333333351
86,0.0,41651,53533,3453.666666666684
87,0.0,47203,47981,3913.333333333346
88,0.0,34567,60617,2863.0833333333503
89,0.0,45739,49445,3793.8333333333508
90,0.0,36152,59032,2994.416666666677
91,0.0,39021,56163,3233.2500000000236
92,0.0,41346,53822,3426.0000000000355
93,0.0,51903,43281,4302.2500000000255
94,0.0,46899,48285,3887.0000000000205
95,0.0,48383,46801,4010.4166666666865
96,0.0,43071,52113,3569.2500000000186
97,0.0,37596,57588,3114.250000000007
98,0.0,41516,53652,3440.4166666666797
99,0.0,46984,48200,3893.8333333333626
