episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
0,410287.5,20015,57773,0.0,0.05
1,415160.0,20827,57197,0.0,0.05
2,411837.5,19508,58108,0.0,0.05
3,400480.0,19587,58061,0.0,0.05
4,372995.0,20461,57419,0.0,0.05
5,366262.5,19973,57795,0.0,0.05
6,411557.5,18980,58508,0.0,0.05
7,375177.5,18714,58722,0.0,0.05
8,369815.0,20667,57309,0.0,0.05
9,394925.0,18617,58787,0.0,0.05
10,387542.5,21663,56593,0.0,0.05
11,401572.5,18708,58724,0.0,0.05
12,370742.5,20390,57466,0.0,0.05
13,392580.0,19177,58383,0.0,0.05
14,394597.5,18372,58944,0.0,0.05
15,373247.5,19116,58388,0.0,0.05
16,377842.5,19688,57984,0.0,0.05
17,403245.0,19678,57978,0.0,0.05
18,372817.5,21778,56474,0.0,0.05
19,379470.0,18374,58982,0.0,0.05
20,371047.5,18644,58740,0.0,0.05
21,384220.0,21895,56413,0.0,0.05
22,396710.0,21168,56964,0.0,0.05
23,407590.0,19460,58192,0.0,0.05
24,384567.5,17555,59521,0.0,0.05
25,389922.5,20601,57327,0.0,0.05
26,391207.5,21128,56992,0.0,0.05
27,382172.5,18935,58553,0.0,0.05
28,367460.0,19408,58208,0.0,0.05
29,397830.0,18010,59234,0.0,0.05
30,360580.0,19131,58397,0.0,0.05
31,395205.0,18606,58810,0.0,0.05
32,373070.0,18849,58591,0.0,0.05
33,405835.0,19766,57922,0.0,0.05
34,359912.5,21216,56860,0.0,0.05
35,380147.5,20344,57568,0.0,0.05
36,371125.0,22087,56265,0.0,0.05
37,395122.5,20288,57576,0.0,0.05
38,396932.5,18962,58558,0.0,0.05
39,375237.5,18359,58945,0.0,0.05
40,391907.5,20030,57738,0.0,0.05
41,363015.0,19461,58191,0.0,0.05
42,379025.0,20960,57108,0.0,0.05
43,377137.5,20877,57123,0.0,0.05
44,373422.5,21955,56345,0.0,0.05
45,397047.5,18690,58718,0.0,0.05
46,369337.5,20464,57440,0.0,0.05
47,356355.0,20521,57339,0.0,0.05
48,403372.5,18702,58686,0.0,0.05
49,395170.0,17858,59338,0.0,0.05
50,398377.5,21816,56464,0.0,0.05
51,421827.5,21545,56671,0.0,0.05
52,395415.0,20076,57744,0.0,0.05
53,383045.0,18835,58633,0.0,0.05
54,386865.0,19784,57972,0.0,0.05
55,388952.5,18911,58541,0.0,0.05
56,374965.0,21171,56945,0.0,0.05
57,457302.5,21837,56443,0.0,0.05
58,364495.0,20108,57696,0.0,0.05
59,366127.5,21131,56929,0.0,0.05
60,446457.5,21708,56572,0.0,0.05
61,372242.5,18599,58793,0.0,0.05
62,375565.0,19874,57794,0.0,0.05
63,406920.0,18648,58768,0.0,0.05
64,392235.0,18591,58825,0.0,0.05
65,421930.0,20373,57507,0.0,0.05
66,377977.5,20113,57727,0.0,0.05
67,374277.5,20118,57694,0.0,0.05
68,357990.0,17731,59429,0.0,0.05
69,412915.0,19826,57930,0.0,0.05
70,392325.0,18817,58547,0.0,0.05
71,389310.0,20855,57129,0.0,0.05
72,397910.0,22838,55738,0.0,0.05
73,359822.5,20052,57740,0.0,0.05
74,403345.0,19396,58196,0.0,0.05
75,383945.0,19745,58007,0.0,0.05
76,426757.5,20675,57289,0.0,0.05
77,375280.0,18834,58634,0.0,0.05
78,374357.5,18807,58581,0.0,0.05
79,388097.5,20649,57267,0.0,0.05
80,385862.5,19618,58070,0.0,0.05
81,386867.5,21306,56850,0.0,0.05
82,387567.5,18533,58843,0.0,0.05
83,393002.5,20593,57355,0.0,0.05
84,409870.0,19259,58321,0.0,0.05
85,414900.0,21212,56912,0.0,0.05
86,382362.5,19737,57923,0.0,0.05
87,429690.0,19914,57770,0.0,0.05
88,289650.0,14763,61445,0.0,0.05
89,331497.5,18594,58782,0.0,0.05
90,396165.0,21622,56594,0.0,0.05
91,398337.5,21758,56482,0.0,0.05
92,429285.0,20444,57492,0.0,0.05
93,397097.5,18884,58588,0.0,0.05
94,356377.5,22030,56350,0.0,0.05
95,418480.0,21365,56759,0.0,0.05
96,402590.0,19641,58043,0.0,0.05
97,389320.0,19575,58093,0.0,0.05
98,391632.5,20786,57258,0.0,0.05
99,403272.5,18683,58761,0.0,0.05
