episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,90669,3719,7505.749999999693
1,0.0,90667,3721,7505.583333333017
2,0.0,90570,3818,7497.499999999709
3,0.0,90565,3823,7497.083333333027
4,0.0,90463,3925,7488.583333333066
5,0.0,90474,3914,7489.499999999706
6,0.0,90665,3723,7505.416666666379
7,0.0,90585,3803,7498.749999999697
8,0.0,90768,3620,7513.999999999687
9,0.0,90573,3815,7497.749999999699
10,0.0,90811,3577,7517.583333333014
11,0.0,90474,3914,7489.499999999704
12,0.0,90369,4019,7480.749999999694
13,0.0,90751,3637,7512.583333333047
14,0.0,90676,3712,7506.333333333052
15,0.0,90431,3957,7485.9166666663705
16,0.0,90952,3436,7529.333333333034
17,0.0,90831,3557,7519.24999999968
18,0.0,90740,3648,7511.666666666356
19,0.0,90556,3816,7496.333333333016
20,0.0,90677,3711,7506.416666666361
21,0.0,90503,3885,7491.916666666363
22,0.0,90585,3803,7498.749999999673
23,0.0,90574,3814,7497.83333333304
24,0.0,90724,3664,7510.333333333008
25,0.0,90483,3905,7490.249999999705
26,0.0,90640,3748,7503.3333333330365
27,0.0,90797,3591,7516.416666666344
28,0.0,90634,3754,7502.833333333017
29,0.0,90704,3684,7508.66666666634
30,0.0,90755,3633,7512.91666666636
31,0.0,90510,3862,7492.499999999687
32,0.0,91014,3374,7534.49999999967
33,0.0,90736,3636,7511.333333333018
34,0.0,90798,3590,7516.49999999968
35,0.0,90620,3768,7501.666666666364
36,0.0,90510,3878,7492.499999999709
37,0.0,90780,3608,7514.9999999997035
38,0.0,90616,3772,7501.333333333026
39,0.0,90631,3757,7502.583333333015
40,0.0,90720,3668,7509.99999999971
41,0.0,90581,3807,7498.416666666383
42,0.0,90622,3766,7501.833333333026
43,0.0,90425,3963,7485.41666666639
44,0.0,90660,3728,7504.999999999663
45,0.0,90537,3851,7494.749999999676
46,0.0,90660,3716,7504.999999999667
47,0.0,90719,3669,7509.916666666318
48,0.0,90478,3910,7489.83333333303
49,0.0,90609,3779,7500.749999999695
50,0.0,90307,4081,7475.583333333057
51,0.0,90631,3757,7502.583333333005
52,0.0,90535,3825,7494.583333333049
53,0.0,90584,3804,7498.666666666349
54,0.0,90684,3704,7506.999999999683
55,0.0,90802,3586,7516.833333333003
56,0.0,90631,3757,7502.58333333305
57,0.0,90631,3757,7502.583333333039
58,0.0,90611,3777,7500.91666666636
59,0.0,90733,3655,7511.083333333009
60,0.0,90764,3624,7513.666666666362
61,0.0,90671,3717,7505.916666666364
62,0.0,90495,3893,7491.249999999701
63,0.0,90878,3510,7523.166666666327
64,0.0,90760,3628,7513.333333333003
65,0.0,90730,3642,7510.833333333066
66,0.0,90524,3864,7493.666666666365
67,0.0,90564,3824,7496.999999999712
68,0.0,90584,3804,7498.666666666352
69,0.0,90457,3931,7488.083333333021
70,0.0,90768,3620,7513.9999999996535
71,0.0,90595,3793,7499.583333333039
72,0.0,90649,3739,7504.083333333021
73,0.0,90556,3832,7496.3333333330365
74,0.0,90692,3696,7507.666666666361
75,0.0,90658,3730,7504.833333333006
76,0.0,90201,4171,7466.7499999996935
77,0.0,90691,3697,7507.583333333007
78,0.0,90760,3628,7513.3333333330065
79,0.0,90428,3944,7485.666666666358
80,0.0,90520,3868,7493.333333333038
81,0.0,90380,4008,7481.666666666359
82,0.0,90620,3768,7501.6666666663505
83,0.0,90454,3934,7487.833333333037
84,0.0,90469,3919,7489.083333333053
85,0.0,90674,3714,7506.166666666365
86,0.0,90843,3545,7520.249999999684
87,0.0,90605,3771,7500.4166666663805
88,0.0,90673,3715,7506.083333333034
89,0.0,90462,3926,7488.499999999685
90,0.0,90592,3780,7499.333333333036
91,0.0,90612,3776,7500.9999999996935
92,0.0,90622,3766,7501.8333333330065
93,0.0,90792,3596,7515.999999999686
94,0.0,90527,3861,7493.916666666389
95,0.0,90594,3794,7499.499999999686
96,0.0,90658,3730,7504.833333333041
97,0.0,90781,3595,7515.0833333330165
98,0.0,91040,3348,7536.66666666633
99,0.0,90667,3721,7505.583333333044
