episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,6944.07757777073,108686,12166,12686,12166,96000,0,0.985
1,6726.693879980848,108800,12123,12800,12123,96000,0,0.970225
2,6958.596088045686,108914,11995,13063,11846,95851,149,0.955671625
3,6788.439882879284,108850,11676,13055,11471,95795,205,0.941336550625
4,7113.338222287731,109551,11364,13579,11336,95972,28,0.927216502365625
5,7195.847388740555,109338,11476,13338,11476,96000,0,0.9133082548301407
6,7041.391306217112,109536,11249,13741,11044,95795,205,0.8996086310076885
7,7161.690817033702,109778,11016,13778,11016,96000,0,0.8861145015425732
8,7254.173555454803,109930,10812,13930,10812,96000,0,0.8728227840194346
9,7529.286176114054,110127,10755,14127,10755,96000,0,0.8597304422591431
10,7311.662164076658,109883,10918,13883,10918,96000,0,0.8468344856252559
11,7598.899264852521,110356,10483,14356,10483,96000,0,0.834131968340877
12,7416.563049466564,110428,10553,14428,10553,96000,0,0.8216199888157638
13,7345.190794068014,110393,10435,14490,10338,95903,97,0.8092956889835273
14,7548.722593085022,110324,10528,14498,10354,95826,174,0.7971562536487744
15,7332.616448598479,110365,10615,14555,10425,95810,190,0.7851989098440427
16,7133.161161730417,110119,10861,14631,10349,95488,512,0.773420926196382
17,7551.480841350001,110684,10125,14716,10093,95968,32,0.7618196123034363
18,7537.0908265729095,110723,10042,14739,10026,95984,16,0.7503923181188847
19,7822.919660261448,111199,9617,15231,9585,95968,32,0.7391364333471014
20,7971.713764603948,111387,9358,15442,9303,95945,55,0.7280493868468949
21,8151.322067053315,111352,9573,15352,9573,96000,0,0.7171286460441915
22,8167.359697700888,111685,9131,15685,9131,96000,0,0.7063717163535286
23,8300.559575934403,111934,9066,15950,9050,95984,16,0.6957761406082257
24,8335.507762251227,111767,9109,15767,9109,96000,0,0.6853394984991023
25,7607.123702666113,110759,10040,15369,9430,95390,610,0.6750594060216157
26,8140.548727417169,111363,9446,15363,9446,96000,0,0.6649335149312915
27,8054.806986161325,111851,9009,15979,8881,95872,128,0.6549595122073221
28,8011.42666272377,111478,9399,15729,9148,95749,251,0.6451351195242122
29,8526.734293591844,112202,8626,16357,8471,95845,155,0.635458092731349
30,8127.888122055237,111895,9049,16032,8912,95863,137,0.6259262213403788
31,8106.503033473096,112003,8801,16003,8801,96000,0,0.6165373280202731
32,8097.701245878587,111242,9518,16098,8662,95144,856,0.607289268099969
33,8565.241071980754,112532,8379,16532,8379,96000,0,0.5981799290784694
34,8729.02154240406,112481,8293,16481,8293,96000,0,0.5892072301422924
35,8441.857207935773,112875,8089,16891,8073,95984,16,0.580369121690158
36,7823.847996577086,111096,9819,16206,8709,94890,1110,0.5716635848648056
37,8485.65927639339,112537,8284,16537,8284,96000,0,0.5630886310918335
38,8207.683570812263,111952,8897,16479,8370,95473,527,0.554642301625456
39,7661.44049033107,111218,9587,16404,8401,94814,1186,0.5463226671010741
40,8193.647511415867,111824,9017,15947,8894,95877,123,0.538127827094558
41,8465.359894529616,111931,8998,16784,8145,95147,853,0.5300559096881396
42,8225.471507205511,111982,8877,16543,8316,95439,561,0.5221050710428176
43,9020.381482197405,113451,7400,17467,7384,95984,16,0.5142734949771753
44,9030.125837006146,113438,7410,17438,7410,96000,0,0.5065593925525177
45,5568.513871680305,106751,14243,15783,9211,90968,5032,0.4989610016642299
46,8756.590736220809,112163,8600,16800,7963,95363,637,0.49147658663926647
47,8749.579390131361,112850,7860,16883,7827,95967,33,0.48410443783967744
48,9086.007968299631,113734,7076,17734,7076,96000,0,0.47684287127208225
49,8574.493396955546,112935,8066,17515,7486,95420,580,0.469690228203001
50,8958.69366129693,113663,7127,17784,7006,95879,121,0.462644874779956
51,9355.396263781837,113843,6884,17843,6884,96000,0,0.4557052016582566
52,9457.29624985738,114192,6628,18192,6628,96000,0,0.4488696236333828
53,9260.65816204368,114045,6797,18045,6797,96000,0,0.44213657927888206
54,9190.677613888474,113859,7050,17859,7050,96000,0,0.43550453058969885
55,7421.263227917559,110812,9983,17093,7702,93719,2281,0.42897196263085335
56,7650.633705627124,111211,9770,16221,8760,94990,1010,0.42253738319139056
57,9134.01969508877,113194,7584,17524,7254,95670,330,0.4161993224435197
58,8884.812627338184,113559,7388,17776,7171,95783,217,0.4099563326068669
59,9070.315750536827,114044,6853,18221,6676,95823,177,0.4038069876177639
60,9062.231129169464,113622,7315,18019,6918,95603,397,0.39774988280349743
61,9627.780227466172,114134,6600,18134,6600,96000,0,0.391783634561445
62,8492.230953988748,112680,8256,18038,6898,94642,1358,0.3859068800430233
63,9306.965287904062,113987,6905,17987,6905,96000,0,0.380118276842378
64,9709.037949897245,114302,6492,18694,6100,95608,392,0.3744165026897423
65,8199.18117945735,112244,8492,17676,7060,94568,1432,0.3688002551493962
66,9435.297593521764,114191,6641,18191,6641,96000,0,0.36326825132215523
67,9228.74341578345,113429,7529,18528,6430,94901,1099,0.3578192275523229
68,9415.146833877438,114301,6523,18647,6177,95654,346,0.35245193913903805
69,9531.02857620709,114227,6611,18710,6128,95517,483,0.34716516005195247
70,8599.741396521074,112104,8612,18171,6545,93933,2067,0.34195768265117316
71,9960.916004876013,114794,6010,18906,5898,95888,112,0.33682831741140556
72,7070.9276290887165,109657,11044,17514,7187,92143,3857,0.3317758926502345
73,9302.930095129781,114001,6903,18024,6880,95977,23,0.32679925426048095
74,8707.766285691876,113148,7666,18556,6258,94592,1408,0.3218972654465737
75,9003.610862355345,114213,6794,18336,6671,95877,123,0.3170688064648751
76,9584.816285352503,114092,6731,18383,6440,95709,291,0.312312774367902
77,9836.390898366984,115043,5919,19043,5919,96000,0,0.30762808275238346
78,7821.7231546559915,110793,10103,17563,7333,93230,2770,0.3030136615110977
79,9480.330900803794,114638,6122,19050,5710,95588,412,0.29846845658843124
80,9972.706281273988,115443,5323,19459,5307,95984,16,0.2939914297396048
81,10084.735827770335,115050,5704,19050,5704,96000,0,0.28958155829351073
82,9905.131390159613,115327,5539,19464,5402,95863,137,0.2852378349191081
83,10191.809401731149,115651,5065,19675,5041,95976,24,0.28095926739532145
84,10029.588065765209,115525,5394,19573,5346,95952,48,0.2767448783843916
85,10251.74958282757,115349,5551,19542,5358,95807,193,0.27259370520862575
86,10656.87084335847,115780,5144,19780,5144,96000,0,0.26850479963049634
87,10201.673680095508,115872,4855,19982,4745,95890,110,0.26447722763603887
88,10102.702613485493,115715,5132,20002,4845,95713,287,0.2605100692214983
89,9869.941315056161,115379,5312,19570,5121,95809,191,0.2566024181831758
90,10377.343788700318,115891,5052,19891,5052,96000,0,0.2527533819104282
91,10450.338898619162,115952,4764,20104,4612,95848,152,0.24896208118177174
92,8913.535004830002,112712,8097,18938,5871,93774,2226,0.24522764996404517
93,9736.032791050002,114047,6749,19038,5758,95009,991,0.2415492352145845
94,8870.46977495126,113597,7229,19052,5774,94545,1455,0.23792599668636571
95,9659.564244262703,114418,6456,18434,6440,95984,16,0.23435710673607021
96,10280.388962003384,115167,5495,19414,5248,95753,247,0.23084175013502917
97,10045.62092178637,115636,5228,19685,5179,95951,49,0.22737912388300371
98,10088.417988090312,115537,5419,19626,5330,95911,89,0.22396843702475866
99,10503.728910052738,115831,4830,19831,4830,96000,0,0.22060891046938727
100,10638.079352311548,116336,4441,20336,4441,96000,0,0.21729977681234647
101,10454.322745380232,115892,4944,20076,4760,95816,184,0.21404028016016127
102,10514.94747799322,116291,4494,20299,4486,95992,8,0.21082967595775884
103,9946.295972461528,114807,5983,19963,4827,94844,1156,0.20766723081839245
104,8946.063835622866,113432,7445,19012,5865,94420,1580,0.20455222235611656
105,8078.083303871274,111312,9454,17720,7046,93592,2408,0.2014839390207748
106,10212.416869662136,116171,4661,20233,4599,95938,62,0.19846167993546318
107,8231.032392391784,112241,8609,18603,6247,93638,2362,0.19548475473643123
108,10452.684793896495,115566,5296,19590,5272,95976,24,0.19255248341538475
109,9703.687437925111,115146,5726,19354,5518,95792,208,0.18966419616415398
110,10144.638467420647,115399,5457,19537,5319,95862,138,0.18681923322169167
111,10061.313109370592,115570,5362,19570,5362,96000,0,0.1840169447233663
112,8425.403285242986,112276,8618,18417,6477,93859,2141,0.1812566905525158
113,10169.385090424432,115162,5737,19178,5721,95984,16,0.17853784019422808
114,10140.285350185173,115364,5345,19690,5019,95674,326,0.17585977259131466
115,10399.451228140353,115720,5066,19823,4963,95897,103,0.17322187600244493
116,10468.84982677049,116356,4445,20372,4429,95984,16,0.17062354786240824
