episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,75009,20175,6226.49999999991
1,0.0,73368,21816,6090.499999999891
2,0.0,76038,19146,6311.249999999928
3,0.0,74120,21064,6152.416666666601
4,0.0,75777,19407,6288.249999999903
5,0.0,78293,16891,6498.166666666573
6,0.0,77377,17807,6421.833333333273
7,0.0,75145,20039,6237.583333333214
8,0.0,75841,19343,6294.083333333259
9,0.0,75257,19927,6246.41666666658
10,0.0,76864,18320,6379.833333333241
11,0.0,74013,21171,6143.749999999909
12,0.0,78039,17145,6476.4999999999045
13,0.0,76777,18407,6371.583333333223
14,0.0,77639,17545,6442.916666666577
15,0.0,78466,16718,6512.5833333332575
16,0.0,75606,19578,6276.249999999918
17,0.0,78043,17125,6476.083333333212
18,0.0,73056,22128,6064.999999999923
19,0.0,78933,16251,6550.2499999999245
20,0.0,76144,19040,6319.5833333332075
21,0.0,71191,23993,5910.333333333262
22,0.0,74458,20726,6180.583333333252
23,0.0,75521,19663,6268.416666666597
24,0.0,77263,17921,6412.583333333223
25,0.0,76515,18669,6351.24999999991
26,0.0,75526,19658,6268.083333333231
27,0.0,72815,22369,6044.4166666665915
28,0.0,77314,17870,6416.583333333243
29,0.0,74772,20412,6205.9999999998945
30,0.0,75763,19421,6288.08333333323
31,0.0,74974,20210,6223.3333333332175
32,0.0,72489,22695,6017.749999999902
33,0.0,77954,17230,6470.166666666526
34,0.0,76739,18445,6368.916666666589
35,0.0,73074,22110,6065.499999999925
36,0.0,72987,22181,6057.999999999912
37,0.0,73774,21410,6122.333333333238
38,0.0,75425,19759,6260.4166666665815
39,0.0,77270,17914,6412.666666666582
40,0.0,74818,20366,6209.833333333242
41,0.0,72618,22566,6026.999999999929
42,0.0,76319,18865,6334.166666666597
43,0.0,78831,16353,6541.999999999937
44,0.0,72693,22491,6034.249999999914
45,0.0,75578,19606,6273.166666666562
46,0.0,79608,15576,6606.249999999892
47,0.0,74057,21127,6147.416666666582
48,0.0,74123,21061,6152.916666666554
49,0.0,72594,22590,6026.749999999931
50,0.0,78851,16333,6544.166666666577
51,0.0,75643,19541,6278.583333333243
52,0.0,74527,20657,6186.583333333254
53,0.0,73360,21824,6089.583333333281
54,0.0,73996,21188,6141.833333333254
55,0.0,68242,26942,5665.58333333327
56,0.0,78340,16844,6501.083333333207
57,0.0,74277,20907,6164.999999999947
58,0.0,79026,16158,6558.249999999895
59,0.0,72240,22944,5997.499999999937
60,0.0,72108,23076,5985.249999999925
61,0.0,75850,19334,6295.583333333243
62,0.0,72997,22187,6058.833333333267
63,0.0,72124,23060,5987.583333333304
64,0.0,77385,17799,6422.749999999934
65,0.0,75368,19816,6255.916666666593
66,0.0,73763,21421,6122.416666666582
67,0.0,76938,18246,6384.999999999896
68,0.0,74996,20188,6224.666666666578
69,0.0,76682,18502,6365.16666666658
70,0.0,71942,23242,5972.666666666637
71,0.0,72182,23002,5992.166666666581
72,0.0,75883,19301,6298.83333333322
73,0.0,74790,20394,6208.249999999935
74,0.0,81709,13475,6780.333333333242
75,0.0,77465,17719,6428.416666666579
76,0.0,73574,21610,6107.416666666594
77,0.0,75549,19635,6269.74999999991
78,0.0,75624,19560,6275.749999999927
79,0.0,75156,20028,6237.499999999923
80,0.0,73819,21365,6127.583333333288
81,0.0,75248,19936,6245.166666666563
82,0.0,82366,12818,6835.58333333323
83,0.0,72581,22603,6025.416666666587
84,0.0,79060,16124,6560.83333333324
85,0.0,80316,14868,6664.74999999991
86,0.0,71456,23712,5930.916666666638
87,0.0,76017,19167,6309.499999999915
88,0.0,77371,17797,6421.583333333223
89,0.0,79169,16015,6569.666666666602
90,0.0,69813,25371,5796.999999999934
91,0.0,73557,21627,6106.499999999924
92,0.0,76625,18559,6360.41666666657
93,0.0,73194,21990,6076.249999999912
94,0.0,78658,16526,6527.333333333227
95,0.0,80825,14359,6706.916666666572
96,0.0,75802,19382,6291.583333333283
97,0.0,76835,18349,6377.166666666528
98,0.0,76378,18790,6340.083333333229
99,0.0,76986,18198,6389.249999999903
