episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,19722,75462,1639.999999999993
1,0.0,20138,75046,1672.9166666666556
2,0.0,18208,76976,1515.8333333333235
3,0.0,17088,78096,1419.2499999999955
4,0.0,19324,75860,1607.0833333333271
5,0.0,17564,77620,1459.416666666662
6,0.0,17841,77343,1483.9999999999914
7,0.0,18985,76199,1579.083333333324
8,0.0,16522,78662,1372.833333333329
9,0.0,21644,73540,1799.4166666666536
10,0.0,17580,77604,1462.2499999999934
11,0.0,16838,78346,1399.1666666666597
12,0.0,18617,76567,1547.1666666666526
13,0.0,18212,76972,1514.4166666666579
14,0.0,18968,76216,1575.1666666666601
15,0.0,19237,75947,1600.0833333333276
16,0.0,17011,78173,1414.5833333333271
17,0.0,23002,72182,1911.5833333333217
18,0.0,19680,75504,1636.9999999999916
19,0.0,20688,74496,1720.4999999999893
20,0.0,16704,78480,1389.4999999999948
21,0.0,19366,75818,1610.0833333333248
22,0.0,20607,74577,1713.4999999999907
23,0.0,18662,76522,1551.1666666666601
24,0.0,16935,78249,1409.2499999999975
25,0.0,16651,78533,1383.0833333333296
26,0.0,15032,80152,1248.6666666666672
27,0.0,17691,77493,1469.2499999999964
28,0.0,19898,75270,1653.9166666666545
29,0.0,17677,77507,1468.5833333333273
30,0.0,20619,74565,1713.7499999999907
31,0.0,18739,76445,1556.8333333333278
32,0.0,17446,77722,1450.5833333333278
33,0.0,18787,76381,1562.8333333333248
34,0.0,20206,74978,1678.833333333319
35,0.0,20058,75110,1666.2499999999895
36,0.0,19274,75910,1602.6666666666588
37,0.0,21943,73241,1825.8333333333223
38,0.0,19169,76015,1595.1666666666574
39,0.0,16466,78718,1369.4166666666633
40,0.0,21252,73932,1765.2499999999875
41,0.0,20573,74611,1710.6666666666604
42,0.0,18391,76793,1529.583333333326
43,0.0,19611,75573,1629.7499999999934
44,0.0,17974,77210,1490.8333333333262
45,0.0,20245,74939,1682.8333333333208
46,0.0,18146,77038,1506.1666666666622
47,0.0,18106,77078,1506.0833333333294
48,0.0,20113,75071,1671.8333333333226
49,0.0,21790,73394,1812.5833333333185
50,0.0,22381,72803,1859.3333333333178
51,0.0,19227,75957,1597.9999999999957
52,0.0,16754,78430,1392.9166666666606
53,0.0,19323,75861,1604.9999999999925
54,0.0,16688,78496,1387.4166666666606
55,0.0,16463,78721,1367.4166666666613
56,0.0,19274,75910,1602.666666666658
57,0.0,19913,75271,1655.6666666666576
58,0.0,20423,74761,1697.4166666666563
59,0.0,19813,75371,1647.8333333333226
60,0.0,21449,73735,1780.666666666653
61,0.0,16267,78917,1352.3333333333303
62,0.0,17604,77580,1464.2499999999968
63,0.0,20049,75135,1665.999999999992
64,0.0,20703,74481,1719.9999999999864
65,0.0,18692,76492,1554.1666666666615
66,0.0,19064,76120,1585.1666666666608
67,0.0,18973,76211,1579.0833333333271
68,0.0,18607,76577,1546.5833333333276
69,0.0,17812,77372,1480.0833333333253
70,0.0,17280,77904,1437.999999999994
71,0.0,17250,77934,1434.9999999999943
72,0.0,16066,79118,1333.833333333331
73,0.0,20398,74786,1696.0833333333253
74,0.0,19584,75600,1626.9999999999877
75,0.0,18892,76292,1569.8333333333276
76,0.0,16249,78935,1349.5833333333278
77,0.0,17392,77792,1445.8333333333267
78,0.0,16272,78912,1351.4999999999957
79,0.0,18174,77010,1511.4999999999916
80,0.0,17612,77572,1464.1666666666606
81,0.0,19032,76152,1582.2499999999914
82,0.0,21618,73566,1796.249999999993
83,0.0,23833,71351,1982.0833333333148
84,0.0,20142,75042,1674.4999999999889
85,0.0,18366,76818,1526.9999999999943
86,0.0,17575,77609,1461.0833333333258
87,0.0,21931,73253,1822.333333333321
88,0.0,18591,76577,1546.999999999995
89,0.0,18971,76213,1576.1666666666583
90,0.0,17760,77424,1478.2499999999957
91,0.0,18488,76696,1537.4166666666606
92,0.0,16981,78203,1411.3333333333287
93,0.0,20694,74490,1720.7499999999918
94,0.0,19491,75693,1621.499999999996
95,0.0,17592,77576,1460.4999999999927
96,0.0,15956,79228,1325.9166666666622
97,0.0,16569,78615,1376.499999999999
98,0.0,17828,77356,1480.1666666666604
99,0.0,19683,75501,1637.249999999994
