episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,50376,45192,4143.000000000089
1,0.0,46483,49009,3820.583333333426
2,0.0,51758,43790,4266.0625000000855
3,0.0,47540,48052,3914.7500000000823
4,0.0,56079,39433,4622.437500000045
5,0.0,52948,42592,4358.500000000064
6,0.0,54725,40711,4510.312500000053
7,0.0,53741,41787,4437.145833333401
8,0.0,52883,42657,4363.562500000076
9,0.0,52552,42992,4332.125000000084
10,0.0,49628,45944,4083.3333333334285
11,0.0,51124,44420,4210.8541666667625
12,0.0,55823,39689,4597.916666666697
13,0.0,55368,40144,4570.145833333395
14,0.0,57188,38308,4716.47916666669
15,0.0,52593,42951,4331.6875000000855
16,0.0,52079,43469,4296.312500000068
17,0.0,56095,39409,4625.666666666702
18,0.0,51042,44502,4204.437500000087
19,0.0,47112,48484,3874.6041666667484
20,0.0,50033,45527,4117.416666666756
21,0.0,58176,37320,4793.8958333333585
22,0.0,54673,40855,4504.937500000045
23,0.0,51438,44118,4237.4166666667525
24,0.0,51595,43953,4248.541666666757
25,0.0,58418,36974,4818.187500000022
26,0.0,52937,42595,4365.562500000061
27,0.0,58041,37451,4786.1666666667
28,0.0,55022,40494,4536.833333333392
29,0.0,49416,46156,4068.1041666667675
30,0.0,52779,42761,4347.583333333413
31,0.0,55487,40033,4570.270833333379
32,0.0,51536,43936,4244.750000000093
33,0.0,49486,46014,4070.479166666763
34,0.0,51520,43960,4245.6041666667315
35,0.0,49175,46309,4045.0416666667716
36,0.0,50322,45246,4140.39583333343
37,0.0,51526,44022,4246.291666666746
38,0.0,52322,43218,4313.583333333407
39,0.0,53213,42323,4387.0000000000655
40,0.0,55259,40261,4554.937500000049
41,0.0,47267,48325,3890.7083333334094
42,0.0,52351,43193,4321.10416666675
43,0.0,52917,42627,4360.666666666746
44,0.0,51365,44159,4236.166666666748
45,0.0,55726,39794,4589.583333333365
46,0.0,50385,45175,4151.166666666763
47,0.0,54005,41523,4458.000000000066
48,0.0,52266,43282,4304.1250000000855
49,0.0,54234,41262,4472.4166666667315
50,0.0,53848,41608,4440.270833333396
51,0.0,47553,48035,3916.500000000084
52,0.0,53189,42335,4384.520833333406
53,0.0,53175,42365,4384.062500000076
54,0.0,56100,39408,4627.333333333379
55,0.0,48375,47145,3982.5625000000887
56,0.0,51135,44425,4209.770833333416
57,0.0,49267,46309,4059.0000000000914
58,0.0,49249,46311,4053.979166666743
59,0.0,53246,42278,4389.958333333392
60,0.0,56245,39107,4639.56250000005
61,0.0,55692,39816,4588.750000000053
62,0.0,53620,41848,4423.312500000054
63,0.0,51323,44237,4228.500000000093
64,0.0,51460,44092,4238.208333333432
65,0.0,53645,41823,4420.166666666721
66,0.0,57083,38325,4704.854166666702
67,0.0,49072,46492,4039.041666666768
68,0.0,52557,42951,4328.625000000065
69,0.0,53201,42275,4383.416666666731
70,0.0,50270,45290,4143.312500000082
71,0.0,53443,42085,4405.437500000075
72,0.0,52033,43515,4287.895833333424
73,0.0,50051,45513,4121.791666666758
74,0.0,53557,41963,4412.645833333402
75,0.0,50217,45343,4138.458333333427
76,0.0,55591,39917,4592.020833333364
77,0.0,56780,38724,4686.083333333377
78,0.0,59090,36350,4869.666666666679
79,0.0,54763,40761,4514.500000000056
80,0.0,53731,41641,4430.312500000047
81,0.0,51532,44024,4245.041666666752
82,0.0,56715,38681,4675.437500000035
83,0.0,56084,39420,4632.416666666697
84,0.0,52978,42558,4376.458333333409
85,0.0,55547,39969,4578.458333333375
86,0.0,52622,42922,4334.250000000081
87,0.0,46188,49420,3800.291666666742
88,0.0,53297,42239,4394.47916666673
89,0.0,54472,41056,4492.104166666706
90,0.0,50896,44664,4186.8750000001
91,0.0,55505,40011,4574.354166666722
92,0.0,41847,53797,3442.5416666667284
93,0.0,56145,39371,4626.562500000037
94,0.0,50026,45538,4117.1250000000955
95,0.0,52442,43106,4319.020833333411
96,0.0,54039,41489,4452.437500000062
97,0.0,52593,42871,4329.520833333399
98,0.0,51949,43603,4283.166666666742
99,0.0,53338,42198,4396.895833333397
